"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0332605995508402,0.106711224752901,0.0310199804357619,0.0542172539070779,0.0247415664919641,0.0397497201092067,0.0922454545772747,0.0324945685060803,0.0270533846283292,0.102131441353256,0.0372953744847589,0.0261290075587633,0.0277735163142545,0.112356238186892,0.0260083141842964,0.0257335656841286,0.0355744883734867,0.0404989800843487,0.0374030618937825,0.0253928861914651,0.0241647413295677,0.0380446314015637,0.00886594692419869,0.0423655292780562,0.00454961179159893,0.0195089104006306,0.00236262937018216,-0.00407331823654271,-0.0121854501229674,-0.00381455551564591,0.00311152892488005,0.00895076449326164,0.0035408694794903,0.00360028601338623,0.00562825683191601,0.0522859120506288,0.000709569305646672,0.00260484427872467,-0.000960154371995174,-0.00262421389307104,-0.00208540303452541,0.000645157346138277,0.00302220055936462,0.0057064634548714
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0318255871985052,0.115893820214105,0.0349609739602035,0.0569104018329352,0.0268618165863538,0.0419703892365119,0.0734061008623854,0.0303827892968866,0.0344854677434516,0.121891810139321,0.0300369204364027,0.0249263841382201,0.0276449961602033,0.0951623568158165,0.0269760161200103,0.02736465943104,0.0357160056918788,0.038984143728165,0.0341145297414374,0.0253295954848255,0.0236147374838427,0.0415404976974977,0.00994344467811707,0.0495117618482088,0.00362042360560831,0.0240649636192091,0.00500229012284517,-0.00172453908189497,0.00131534711190761,-0.000193416942467918,0.00683739777497044,-0.00916696713363906,0.00835142182356535,0.00298576265292368,0.00481385005931334,0.0271715176387485,3.61114553829165e-06,0.00358346814774993,0.00369611926232868,-0.00918732428631864,9.33427058810859e-05,0.00346699841106063,0.00435397060306622,0.0106081223468606
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0303992560965395,0.118556591539584,0.0337211853744737,0.0521368068622878,0.0280398162629595,0.0489283909352148,0.0864450862814556,0.0319004127739941,0.0301287921774048,0.0960545847047644,0.0332220678432854,0.0235274782125897,0.0312852234964674,0.10532774958413,0.0264690612599677,0.0254434907639537,0.02770454401418,0.0417529357787882,0.0346174946043946,0.0303537746570266,0.0265742161462806,0.0374110406302579,0.0134940655409609,0.0524482676157457,-0.00285273825184315,0.000988533248681565,0.00600569072034246,-0.00228000188393042,-0.0087374133630667,-0.00123503206818773,-0.000261826664694373,-0.0255324545560381,0.0053509086786325,0.00258886670343703,0.0022252438328639,0.0394681950196608,-0.000727814860374036,0.00312762099883362,0.00388996175727534,-0.00905660914969935,4.31744157927615e-05,-0.00436768548848205,0.0018502541494627,0.00423175281413766
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0300303964846287,0.120355267991839,0.0334938641945509,0.0556668420925178,0.0258186774170453,0.0423676519571936,0.0951801555490603,0.0303604002466234,0.0297071537644389,0.108980500989658,0.0427557213851976,0.0248818847538413,0.0255220192851657,0.100882126067884,0.0247899636800736,0.0247657290125998,0.0318683358456018,0.0334923398297103,0.0341526059083679,0.0253011941427208,0.0264372247827972,0.0331899446184852,0.0133000544760493,0.0503302550959058,0.00271466150435984,0.0136013982868941,0.00596737368255877,0.00062966440949856,0.00900054393775861,0.0025984096736623,0.00732987914993012,0.016600667411083,0.00597019875945723,0.00380385564721193,0.00352226800649751,0.0292807691312679,0.00287143070163965,0.00410126716832534,0.00827968904899486,0.000161405061600668,0.00642320855761868,0.00435717615365588,0.00494092196084341,0.00731583963175896
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0344096127179659,0.115485968207695,0.0364704116828096,0.0578607636648345,0.02688452155664,0.0395405684770311,0.0808783147279695,0.0399957523277376,0.0277956501113714,0.09132057789558,0.0320977919191197,0.0279152902874136,0.0244322343393051,0.109699608211009,0.0271186577203213,0.0282750344696348,0.0348457108697145,0.0415726438266872,0.0338935787506913,0.0262371231235523,0.0280165463841633,0.0352536387287532,0.0162857189263395,0.0669399002257162,0.00481778864327054,0.0107038950747032,0.00728444683632019,0.00574796201860363,0.0127027145089236,0.00625857901678829,0.00848357581309774,0.00413075534367471,0.00402819757981213,0.0058918490924448,0.00711311007891822,0.0331820405318377,0.007122492890501,0.00671471986016065,0.0108498378168097,-0.00511541667574523,0.0054162080076888,0.00533856234373422,0.00490845686545745,0.00432393367317474
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0339113163028942,0.106095665932273,0.0358906647020632,0.0573800730003961,0.0278418722230018,0.0417618583079065,0.092417653135523,0.0337528518640982,0.0277418210703792,0.110179655354553,0.0348857355014979,0.0294587359961745,0.0255472097318334,0.0928474479613683,0.0281343339653313,0.02670091082708,0.030486118282126,0.0368799782177638,0.0318054835770391,0.0278890668889762,0.0271967559228045,0.0411947912349176,0.00414724426497146,0.0555479719714942,0.00227199538607193,0.0124452810922885,0.000526493276953019,-0.0015922975426268,-0.0117274382029226,0.00246927510437868,0.00314226595443888,0.000403330593371793,-0.000510279854696541,-0.000278246072198805,0.00287248382943133,0.0271036294323232,0.000321994937355267,0.00752242170682809,0.00876502702453606,-0.00798991536257228,0.00537200250339756,0.00329378248486107,0.000603156317031728,-0.00130748525697009
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.030829154844108,0.107935285737893,0.0317145907466071,0.05641545849226,0.0279481001660903,0.0458517408115618,0.081655220174482,0.0306842114451295,0.0305272379527875,0.10769125079659,0.0360952444616281,0.0248562723364857,0.0278602834492352,0.105425033087346,0.0274803700135228,0.0253089950798565,0.0315106735452561,0.0411374851646313,0.0308313266605487,0.0259122079097836,0.0306803863041135,0.0416494708200841,0.0248873888182232,0.0793948126803095,0.0139442322037851,0.0430008327189568,0.0177253870791987,0.0243737243808284,0.040852114195994,0.0191863970777846,0.0191735147710584,0.0477897661622582,0.0223241058026553,0.0142589495128151,0.0204158942862716,0.069511831128337,0.0130415028132587,0.015164003923609,0.0183621124262866,0.0145288610552858,0.0141278825725423,0.0147429035114645,0.021782479342524,0.022511873066801
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0353655981547546,0.119125501880738,0.037734993206144,0.0589602438769559,0.0298088583091223,0.0438045518418761,0.0792751649000705,0.030167708592419,0.0289219624991427,0.111449175458186,0.033563833115533,0.0227684652642532,0.0262950179717735,0.0954202042678915,0.0283634474886189,0.02698714593267,0.0288088160139077,0.0370272939387268,0.0345120861725211,0.0287552853760061,0.0273991233312834,0.0354855224074059,0.0262845899852426,0.0525187334079118,0.0211543105968553,0.0447291745442287,0.0136886200754443,0.0169243342102329,0.0394687798991383,0.0129994080640409,0.019266120628798,0.0508007730907402,0.0177091964692643,0.0126751506266842,0.00990722602501553,0.10042896587261,0.00906136585938583,0.0186000865852982,0.0167320853676617,0.0155371179914771,0.0174852485532267,0.0121699836983645,0.014178522621718,0.0222763030815063
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0347102418437958,0.117348646910455,0.032405963932662,0.0587256261516323,0.027623979500847,0.0421923231385075,0.0771961372883182,0.0295297449667819,0.0293641419375098,0.102955825004525,0.0375442036203313,0.0262297483720844,0.028783288171235,0.111140838498047,0.0310122801437463,0.0279866788978745,0.0285697912232952,0.035113317866626,0.0275975164892795,0.0278758124375267,0.0253567665834566,0.0407371270214629,0.0286043964912125,0.0821005718900887,0.0180398994768327,0.0280903012859945,0.0171757388246991,0.0217754626734959,0.0288769042264153,0.0161723099829374,0.0179728629966052,0.0370372440011138,0.0204369709576751,0.0155039158666315,0.0162239985157346,0.0865424284903126,0.0152481929357874,0.0156043651510807,0.0165040780585687,0.0140182118952452,0.0160670052720641,0.0165790958455312,0.0146849580083243,0.0183322705789018
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0334242619963853,0.117428902267133,0.0347172144872121,0.0625156949060417,0.0268404511457008,0.0487903209990979,0.0739553650031581,0.0338986953128117,0.0337236881970532,0.109376428948093,0.0304312701856396,0.0269137567028501,0.0299563023004658,0.0984402396632804,0.0277273291073572,0.026262011001083,0.0288525738485346,0.0364233697421932,0.0263140621982245,0.0318604698851589,0.0277395794108133,0.0344080126917129,0.00548062101021738,0.0545319730744509,-0.00266264772431005,0.015157396134273,0.00434466303177782,0.000426990698631258,-0.00481393141654627,-0.00634074021346306,0.00326068189967885,0.017369789021841,0.00190198624084803,0.00530304462690872,0.00609097035366328,0.00521044033804957,0.00364794619724884,0.00498516100894773,-0.00335172927888901,0.00155930761915903,0.00420415992025919,0.00503996392151294,0.00319805793953793,-0.000602739172289616
