"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","one, peopl, get, now, like, say, just, time, think, want, thing, make",0.0209,0.0395,0.0593
"Topic 2"," ","member, particip, note, risk, effect, recent, relat, continu, expans, might, like, busi",0.0812,0.0533,0.0216
"Topic 3"," ","stock, percent, point, index, fell, rose, investor, gain, share, close, earn, week",0.0277,0.0268,0.0513
"Topic 4"," ","price, oil, energi, increas, consum, inflat, month, rise, product, higher, year, cost",0.0528,0.0331,0.027
"Topic 5"," ","committe, polici, feder, condit, direct, monetari, financi, reserv, stabil, fund, rang, member",0.0911,0.0512,0.0193
"Topic 6"," ","school, year, peopl, incom, univers, famili, educ, work, student, program, live, high",0.0229,0.0392,0.04
"Topic 7"," ","fed, interest, feder, reserv, polici, rais, term, inflat, economi, point, meet, short",0.031,0.041,0.0376
"Topic 8"," ","compani, billion, million, year, share, busi, profit, execut, corpor, invest, analyst, firm",0.0229,0.0309,0.0425
"Topic 9"," ","fund, bond, investor, secur, treasuri, invest, yield, million, manag, percent, year, debt",0.0343,0.0347,0.0346
"Topic 10"," ","cost, pay, health, money, care, insur, year, save, account, mani, retir, percent",0.0225,0.0393,0.0382
"Topic 11"," ","percent, report, year, month, last, week, increas, show, rose, sinc, expect, sale",0.0288,0.0273,0.0501
"Topic 12"," ","citi, new, build, develop, york, plan, project, center, offic, million, area, communiti",0.0224,0.0328,0.0438
"Topic 13"," ","hous, home, year, real, new, estat, sale, apart, month, start, properti, rent",0.0314,0.0294,0.0317
"Topic 14"," ","presid, polit, elect, vote, support, administr, white, polici, hous, issu, leader, chang",0.0219,0.035,0.0475
"Topic 15"," ","tax, cut, budget, state, spend, year, billion, plan, govern, propos, program, deficit",0.0236,0.0304,0.0412
"Topic 16"," ","china, govern, countri, chines, russia, invest, year, state, asia, world, russian, india",0.0228,0.0316,0.0351
"Topic 17"," ","quarter, spend, consum, growth, product, pace, increas, inventori, continu, busi, declin, sale",0.0932,0.034,0.0245
"Topic 18"," ","govern, offici, nation, war, minist, countri, militari, south, day, forc, presid, leader",0.0215,0.03,0.0434
"Topic 19"," ","european, bank, europ, euro, countri, central, govern, union, germani, german, franc, debt",0.0236,0.0334,0.0382
"Topic 20"," ","bank, loan, credit, financi, mortgag, borrow, debt, interest, lend, lender, financ, card",0.0368,0.0591,0.0348
"Topic 21"," ","new, rule, law, case, agenc, group, deal, regul, offici, includ, board, issu",0.0235,0.0539,0.0433
"Topic 22"," ","state, unit, american, world, trade, nation, countri, america, global, mexico, develop, intern",0.0222,0.0387,0.038
"Topic 23"," ","economi, year, growth, recess, still, last, recoveri, time, fall, cut, sinc, like",0.0284,0.0358,0.0416
"Topic 24"," ","dollar, japan, trade, foreign, currenc, export, import, valu, japanes, exchang, economi, yen",0.0385,0.0325,0.0283
"Topic 25"," ","inflat, expect, remain, term, continu, period, particip, longer, growth, project, run, declin",0.094,0.0403,0.0178
"Topic 26"," ","compani, industri, busi, product, like, store, year, new, sale, car, custom, retail",0.025,0.0355,0.0378
"Topic 27"," ","job, worker, unemploy, labor, employ, work, wage, month, year, increas, benefit, hire",0.0351,0.0316,0.0315
