"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30","T31","T32","T33","T34","T35","T36","T37","T38","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent","T28_sent","T29_sent","T30_sent","T31_sent","T32_sent","T33_sent","T34_sent","T35_sent","T36_sent","T37_sent","T38_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0205963695006431,0.0164391297034123,0.0326441588269188,0.0869824716164489,0.0200889808244783,0.0136043928813618,0.0138549688707671,0.0151987250752462,0.0447356082846513,0.0221232684945142,0.0200905240258147,0.0459539224256043,0.0158165398777123,0.017762928616774,0.0173517898554564,0.0211260986844296,0.016244816318724,0.0195456606932243,0.0896969613615481,0.0141144879164753,0.0125013004274686,0.0160483446239707,0.0220680870433223,0.0453667886085326,0.018093849647774,0.0150508328901284,0.0338971654310207,0.0780148429368857,0.020413260578058,0.0145169635207278,0.0152852427944745,0.0238785124642861,0.0208498723551889,0.0320167364480885,0.0165103134580067,0.0130681653378243,0.0161553550037579,0.0222925625762796,0.00333612959047871,0.00403727186792771,-0.00233560476344346,0.0195008518528287,0.00180392579620322,0.00124966774372406,0.0022979551485548,0.000890283721447695,0.0275172363723869,-0.00118464384649614,0.000754154780073969,-0.00483793086730552,0.000686117345487433,-0.00316003234733814,0.000675957440418717,0.00195877473543376,0.00275424584112254,0.00531005912558662,0.0453536800189197,0.0023717357471352,0.00178748170980943,-6.71843112546114e-05,0.005662537594378,0.00786500241679655,0.00140588246665445,0.00216504323974409,0.0110137512371895,0.00606035933035352,0.000771246397335237,0.00137228741500995,0.00294407921718874,-0.00483832668553317,-0.00317277644437906,-0.00914990549590435,0.00166383700062317,0.00217285904607251,0.000184246926591283,0.00489512896440579
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.016029048068182,0.0150546757684468,0.0357009665716981,0.0704694861279671,0.0171775608062723,0.0168978508330545,0.0147558698234636,0.0160554017817195,0.0515349638423509,0.0229044222997788,0.0213274035515368,0.0320519961585922,0.0178822325433446,0.0147126778284902,0.0175133885333995,0.0166785600593011,0.0158066976407702,0.0225463929478878,0.107326002214015,0.0145474506660041,0.0130948529941851,0.0171042519956876,0.0205927883933021,0.0349189862195739,0.0166432451388198,0.0151426511162484,0.0399900123382004,0.0924392544138856,0.0183969593812206,0.015302727447277,0.0133362466477935,0.0221583505332378,0.0168781173878752,0.0355258188606386,0.0162769960693927,0.0146604032691442,0.0159480967376568,0.0246171929895852,0.00251278438342603,0.00273002189432274,0.00549990748706269,0.0150226776724452,0.00398096432388524,-0.0015709118557072,0.000954691006002031,0.00298712200519831,0.018596920245848,-0.000519990033206268,-0.000426678302573493,-0.00258769441958528,0.00118852330924987,0.00306486643178163,0.00194446481664194,0.0041899086993977,0.00349619374107381,0.00973800223695221,0.0513306478421002,0.00255921934792429,0.00140049372109125,0.00276406163027716,0.00750197530248116,0.00383626429105508,0.000810912168342231,0.00480318391803321,0.0177903526553478,-0.0127045447875362,0.00160178795459554,0.000825384863838204,0.00135975813764205,-0.00107214383424566,-0.000162420042033646,-0.0153027926584277,0.00208442129165631,0.000464568310472312,0.00224697275333748,0.00621168960541593
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0173051700862785,0.0145145822860524,0.0274344852428957,0.0804636667386068,0.0187745493047054,0.0145347159496824,0.0160715170631842,0.0186589590096742,0.0568850196639487,0.0308895255997477,0.0186564428186405,0.0327394574659408,0.0168236239861114,0.0172034369764366,0.017378814020354,0.018066897384949,0.014598202724053,0.0178390317523299,0.113807594133553,0.0144809290113585,0.0145541960303735,0.0154968566768096,0.022166275687288,0.0337622374637632,0.0147680029917002,0.0156460263400813,0.0378893262572631,0.0708258416490741,0.0132866298012694,0.0179189317514814,0.0150406174556726,0.0230354890612946,0.017836764005382,0.0363124083869949,0.0186228120329071,0.0127603996962218,0.020276039917331,0.0226745235765897,0.00101269072028573,0.00306351072695124,0.000139568273795445,0.020851277849332,-0.000885573294915629,0.000717264109745197,0.0031711628539931,0.00923500523991496,0.0213962348511738,-0.00308642921734421,0.00257121501542331,-0.00759138449220651,-0.00119393986039925,0.00188428337917382,0.000674492662018921,0.00232081212298382,0.0025104049073933,0.00437583560656586,0.0519011216048533,0.00216272203191261,0.00145965558521532,0.00157279972050583,0.00370746552996828,-0.00549779962861759,0.000764086169754233,0.00134794201426976,0.000393191017080385,-0.0250556499856774,0.00319713303375969,0.000452633496087465,0.000580118610110191,-0.001498264050959,0.000118784670976483,-0.0168050260353928,0.00254355102851006,0.00152483594304265,-0.00645460918370727,0.00307983618393378
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.017252062827853,0.0161515078765013,0.0334351088432791,0.0931641370542357,0.0198975931652414,0.0165517912700186,0.0152653963296262,0.0146985985591391,0.0442460605398064,0.0209313453823763,0.0222625297621042,0.0394988788153837,0.0152215645176332,0.0157552390001924,0.0204056762874124,0.023018917172838,0.015935505306447,0.021095960382269,0.107382386210177,0.0145854413155058,0.0141501290957091,0.0138695225280457,0.0163845250981135,0.0395534685761046,0.0162427767125367,0.0132704663179418,0.0360170269322866,0.0842211461603482,0.0161617530473128,0.0155219498177004,0.0163675703746138,0.0225196075838862,0.0199754730659009,0.0287623795924144,0.0142483048853404,0.013533645921066,0.0154338566674265,0.0170106970052122,0.00393006152006922,0.00398048480629652,0.00531864047025773,0.0219895535702892,0.000129765754494106,0.00316829446646755,0.0039824250556723,0.00405588542528383,0.0127596671752214,-0.000864294006742128,0.00319333745934677,-0.000326383694776575,0.000724805210601389,0.00329962445444777,0.00603959651654988,0.00388437169661631,0.00334947918374388,0.00680810715462503,0.0526132971441869,0.00347185472146536,0.00397575312389991,0.00122826879959514,0.00293772317585114,0.00897362705884309,0.00179279090649334,0.00326077130878848,0.010390129284844,0.00571995913595435,0.00367082804975408,0.000627691205783769,0.00147884740454688,0.00369604308069235,0.00349278534920658,-0.00107479518324111,0.00233515331181727,0.00268060847669648,0.00207602963793306,0.00433014924499717
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0190920003343204,0.0175195644568743,0.0338371460618955,0.0818360543416084,0.0191153994999885,0.0169184773565347,0.0161270775374186,0.0159689362001195,0.0457407577477313,0.0245936907789453,0.0188091038323235,0.0333688152660279,0.0193041953878015,0.0147303723134256,0.0152524197884117,0.0219650733270356,0.014385056354534,0.0257736847251741,0.108196475692748,0.0126471973913152,0.0152732708543203,0.014142472722814,0.0192949256701411,0.0388136612233679,0.0145096027190383,0.0143434483185445,0.0428837476548952,0.0678766597099934,0.0173272370021778,0.018519220832447,0.0152499734206031,0.0201652042914286,0.0226081408445407,0.0356575630399359,0.0154182010994511,0.0132221186434516,0.0191950709865622,0.0203179825720534,0.00351120303459917,0.00308228124653773,0.00161426425303651,0.00454509937619846,0.00216484014072287,0.00298118155530571,0.00463725434331507,0.00388912386554963,0.023300752431608,0.00194488174980429,0.00508812222732978,0.00849305545999626,0.00218428321788476,0.00445399032424425,0.00362342143676301,0.00274809787038974,0.00271301453103857,0.0189300382397428,0.076661681748824,0.00304338636251528,0.0044777803901028,0.00361300625430421,0.00565792217039958,0.00650829082453716,0.00290003010042857,0.00306284455951856,0.0060059459004072,0.00040130314095184,0.0062436464262076,0.00168379791400147,0.0024043313216365,0.0032921091926591,0.00282587912251811,-0.00524503400360507,0.00331961368367709,0.00281260654799663,0.00185924133356709,0.00169604017751751
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0170988252079275,0.0186399769818698,0.0354426506889598,0.0753536826764634,0.019035408487989,0.014648368980062,0.0170974335506762,0.015867573315846,0.0528527279837967,0.0240844468236023,0.0157838361012026,0.0339107785254972,0.0175387590886351,0.0179658838790062,0.0182409006754087,0.0189789947080578,0.0161810828851321,0.020598019989206,0.0932993753285716,0.0147374868013332,0.0166249656172177,0.0156687375333327,0.0195272227418231,0.0389729858613444,0.0175960792258976,0.0147855890464215,0.040001694304711,0.0832180991239036,0.0184741147639587,0.0151140825428457,0.0165920580782756,0.0204881768768254,0.0235800530434643,0.0293232673474831,0.0147033155241334,0.0144166375020081,0.01818892348937,0.0253677846977408,0.000817533908259091,-0.000556652651930575,-0.00254552639872671,-0.0149281479482889,0.00147018751264276,-0.000637835384657403,0.00156233310310282,4.86464374969086e-05,0.031691568131627,-0.00578335421531568,0.00102122887797536,-0.00437384351000529,5.90865964844185e-06,0.00140851976050323,-0.000974735877190082,0.00123206271093511,0.00308160851633219,0.00374552950104948,0.0664642648800356,0.000713359639012041,0.00138563186660504,0.00199334925182133,-0.000891317196288514,0.0030884657454192,0.00195656063062681,0.000759607433782162,0.0149473865305721,0.00757637197137356,0.00431455668448188,-0.000889210008197999,-2.06832274939589e-05,0.00159673907413893,0.00444702596468552,-0.0117231776564018,0.00165410291176313,0.00190963879080878,-0.00302186475264317,0.000856853920187134
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0191809766208056,0.0131787368624295,0.038199890711214,0.071091024923623,0.0201834545241661,0.0148374142483584,0.0157761278883132,0.0153071500300593,0.046534571040619,0.0241769913932492,0.0171477743306774,0.0343225296040102,0.016498758290314,0.0140342579900055,0.0201851550381722,0.0227618890550042,0.0189865201663312,0.0205813376415001,0.0952157728523168,0.0140699854113705,0.0133734466585875,0.0141976775648516,0.0247722555230912,0.0460892139106081,0.0135077156381444,0.0152497154122559,0.0393618861565368,0.0874849334386265,0.0170292473926094,0.0163705271924536,0.0152501675815886,0.0185179128175767,0.0175162758838397,0.0365300525915568,0.0151363132248937,0.0174671427990213,0.0171966773737646,0.0226785202174542,0.0108115088901101,0.00814241473167952,0.011680615316573,0.0176058940600978,0.00957934267534174,0.00637399707483762,0.007399569827671,0.0101670105816295,0.0427533847754929,0.0122541546126939,0.0120081385739449,0.0207860959299493,0.0088125080422294,0.0101014937740796,0.0112521856796194,0.00774063072746686,0.0129700279043825,0.0192930448019434,0.0916274965491885,0.00734767730711894,0.00773763417834405,0.00871994891275282,0.0205143218332285,0.0332660835331799,0.0080657461657236,0.0109717185543897,0.0362387576471237,0.0307453463244173,0.0116941915715401,0.00785261448368935,0.00804627276371325,0.00728966681155376,0.0116689088594588,0.0088319213280105,0.00952822596277779,0.0086625133300624,0.0100000995678216,0.012559405866411
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0187225286876476,0.0133375629097639,0.0385228992412334,0.0597455123478091,0.0212800655858703,0.0160525240266644,0.0161259093009307,0.0189187865555402,0.0533815108015614,0.0268813516745006,0.017002760840085,0.031560510772518,0.0166848490918922,0.0166203586937527,0.0180928096831607,0.0183364631952095,0.0152538572866349,0.0256788691719336,0.103673061797939,0.0145977273501959,0.0136989744801901,0.0152213955076076,0.017466539308889,0.0416103620179498,0.0161707187733687,0.0149174480995733,0.0441198739594844,0.0856147886805137,0.0155062250665219,0.0166767522592376,0.0138447542434441,0.0211791631519591,0.0199014269405781,0.0324181803787853,0.0164606578727585,0.0147011740939712,0.0192136701181298,0.0208079760321949,0.0108646291702521,0.00790668134322893,0.0202739585206399,0.0332540910813668,0.00886330283670184,0.0060147517696578,0.00736422816372281,0.0125880098577071,0.0723801407634144,0.0134632553777997,0.00928792395549372,0.0110153845951647,0.0083862721615718,0.008978890881823,0.00793755011115721,0.0102546507650384,0.0102844997846222,0.0177983987756759,0.0381786343684749,0.00674386878375584,0.00823808630858869,0.00626504757764357,0.0111830472253887,0.0311631755524097,0.00743317389640485,0.0082942786865973,0.0381860144557875,0.0424120694822475,0.00718730815265179,0.010341516935493,0.00644943869032212,0.012003204937828,0.00916554191330042,0.00845682169068425,0.00542260636854391,0.00885746113535321,0.00777448097327811,0.0139237002050533
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.018878622670231,0.0156061729115233,0.0288433163146452,0.0799656536885942,0.0213463955177342,0.0172464483314193,0.0155704751443612,0.0185332064404733,0.0506826379032002,0.0233039960561943,0.0175054910304453,0.0343716100055489,0.0151005152025209,0.0152998872999552,0.0185442702881048,0.019882682772211,0.0171292159229525,0.0223048639586158,0.107320779877351,0.0137008209476162,0.0172454824293305,0.0148934372663013,0.0189648877473403,0.043307635777055,0.0161771670951155,0.0141185623359943,0.039134613374307,0.080827113515202,0.0165635202413808,0.0160965749875887,0.0154419516007357,0.0157425201117928,0.0166901565276549,0.028308830362941,0.0176604657206294,0.0134904598844488,0.0211595851699619,0.0230399735685228,0.00848598786885817,0.0100357134640247,0.00841925442177862,0.0375075338899274,0.0138562716410675,0.00763849955218164,0.00946614436796107,0.0143283696981181,0.0544544278612444,0.0112049093816312,0.00991831424259506,0.0104319490224664,0.00999181610476172,0.00849741607623786,0.0114078041369638,0.00971348735151313,0.0114021297883239,0.020430551378213,0.0876186926740988,0.00780547368190496,0.0102341603481178,0.00852269028630893,0.00841096808000632,0.0198154084502589,0.00830798315890567,0.00767681604596627,0.0185854198950868,0.0243482715033701,0.00866550451518219,0.0090719894705028,0.00820530841878657,0.0091377345699261,0.00703287313052798,0.00729810506321295,0.0119920632956752,0.00757255786974571,0.0136735620929017,0.010425020626899
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.0161023535650432,0.0159499190430998,0.0317240702450903,0.070049080727991,0.0197600772929598,0.014527853281538,0.0157162062206424,0.0175906243329612,0.0484686621346545,0.0254511891856264,0.0190737468201552,0.0311463959590403,0.0189731504164498,0.0190346723175763,0.0181781903259465,0.0160100522511807,0.0140557468998275,0.0190916239831432,0.11427360909812,0.0172565885151198,0.0161761567211557,0.0170525642640201,0.0174478299773242,0.042493116050084,0.0178701837315865,0.0143394328098817,0.0436112002915039,0.081224753184887,0.0142283127265566,0.0159847829813195,0.0173814690340588,0.0137780632587196,0.0217229066160233,0.0344757323641908,0.0157657660275436,0.0152869830096464,0.0197542012028629,0.0189727331324699,0.00325091604172593,0.000676176448769768,0.0014632395660942,-0.0130709009920724,0.00117788702826963,0.00235572358643116,0.00301583704572939,0.00401711245732954,0.00807462038238132,-2.84503523362551e-05,-0.00284888469406942,0.00045587150253103,-0.000136770546105024,0.00048032571214581,0.00116085187540752,0.00102425146923367,0.00271530678228375,0.000899850780050274,0.062967609150136,0.00173640146584905,0.00217179920584383,2.52607713946789e-05,0.00378425030404533,0.00497313340316681,0.00106741247765578,0.00150823596408162,0.0120659112798169,0.0156798831547515,0.00185263677972368,0.00189531770229128,0.0027731455853784,0.00209189598260289,-0.00724961567950629,-0.00472902006612083,0.00324238876640909,0.00223197951004853,0.00357908652374419,-0.00240931114360468
