"quarter","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent"
"1993-01-01",0.0417103683905629,0.0512423252601722,0.0488867405358682,0.186935198680404,0.0594703272872573,0.043303605013196,0.160861489770695,0.0622372289441704,0.0381829748756288,0.0789714478871659,0.043798095627981,0.0509672733744505,0.0498024659284536,0.0385330338473095,0.0450974245766842,0.00739854110158928,0.00706080796573793,0.000957357042524774,0.0281385808258892,0.00580933666867018,0.0105815169884633,0.0459428856502291,0.00228013447996035,0.00494195014940977,0.0212714222602957,0.0019948624809362,0.00305438203756308,-0.0066146837651925,0.00453828163261796,0.00824458186158421
"1993-04-01",0.0389514400918853,0.0494475483183152,0.0459440035962382,0.193074891910546,0.0516248736007835,0.0445841797621306,0.161073021559573,0.0609505106588857,0.0432490443432786,0.085044325755514,0.0414267019758551,0.0470543538575572,0.0512049387070369,0.042411909105308,0.0439582567570922,0.0076210382799275,0.00121439274298985,0.00751638474003533,0.0173980050401352,0.00669814506952697,0.0140676321709746,0.0351996320698925,-0.00732842015841884,0.00209942785508856,-0.00212845894639419,0.00118460579242605,0.00252366237123915,-0.00815504789212613,-0.00299220379760693,0.00574216387182125
"1993-07-01",0.0456331433567738,0.0542641539105683,0.0483063554635447,0.181857859289201,0.0551486297792912,0.0442111201675444,0.160589973821469,0.0568370314248409,0.0395831482626627,0.0864150829859211,0.0410313744405896,0.04867929627884,0.0519961321786513,0.0391018722763552,0.0463448263637474,0.00908759516289312,0.00652275511996595,0.0090039193851409,0.0490366728311192,0.0125930920039302,0.0135492570732597,0.0336423288070234,0.0053454148716041,0.00551377018778253,0.0132365134069484,0.00576623130551404,0.0113751806961932,-0.00293630723482498,0.00618691848684047,0.00447186141251043
"1993-10-01",0.0414304391330089,0.0528792605600157,0.0452429575796615,0.181417731182463,0.0574822368050907,0.0472448630857135,0.150786418218146,0.0637740918234249,0.0390018548696481,0.091857770441328,0.039762701996785,0.043928156138907,0.0533334051364874,0.0422915365898558,0.0495665764394648,0.0275658945636455,0.0266449614878507,0.0230253325679353,0.0833339450557434,0.0376599447987168,0.0333852769820287,0.115092093374628,0.028775249674354,0.0214434367960763,0.0638577767927342,0.0174021862534406,0.025296705797017,0.0237074086275285,0.0217760847433278,0.0279217289110195
"1994-01-01",0.0450233694132305,0.051960310937369,0.0397027474857458,0.188950798754869,0.0529611338554185,0.0434552453928113,0.160394129417327,0.0656868755161625,0.0414966158649183,0.0844099220708812,0.0417535372014509,0.0447360138236697,0.0497209652565066,0.0434163201769062,0.0463320148327341,0.0171899082761847,0.0164806613999871,0.0156099923734605,0.0728364002485396,0.0214768464622174,0.0199509622558693,0.059022391533882,0.0187635719486608,0.0156551035685766,0.0288877670113386,0.0141947046402037,0.00785460585195698,0.0133663439222359,0.0159737361879029,0.014496083130797
"1994-04-01",0.0421108152300535,0.052613503007018,0.0361445529904576,0.166218018295373,0.0498029784834643,0.0425434196855976,0.175749229402608,0.0596038188840678,0.0397035550236982,0.0966477426883388,0.0419740186751888,0.0476875068423354,0.0542754736409355,0.0453043605956345,0.0496210065552282,0.00659373999140704,0.00250157869056832,0.00701186963659757,0.0440863665025024,0.0129522423919404,0.00846309825309562,0.0137193108874168,0.00575611054565038,0.00669368970835985,0.0120806620945834,0.00417327090231524,0.0105902425617045,0.0054203078580453,0.00747362971510858,0.00329686007797584
"1994-07-01",0.0437619049407212,0.0481104716439304,0.0407034527391405,0.176563368788446,0.0520812531325249,0.0424023544714244,0.177769941164373,0.0599131481581318,0.038579321357598,0.0887835687300652,0.0409963181720502,0.0476412033004427,0.0534708272174549,0.042218710960227,0.0470041552234702,0.0105803834262121,0.00922114793762932,0.00801694946304363,0.0361843221874412,0.0147786984604505,0.0105140843504464,0.0602619840534586,0.0049329977379043,0.00810669219581391,0.0170340963564887,0.00971566342461715,0.00678528798196308,0.0139310896319734,0.00832372314204337,0.00654711517786455
"1994-10-01",0.0451961955876126,0.0492226239929745,0.044550676264577,0.180651045709239,0.054534369484983,0.043182070266097,0.169927444188459,0.0647295205366846,0.0414130486689894,0.0798089577210815,0.0401339324481553,0.0470676400123089,0.0504753103673695,0.0399799963056192,0.0491271684458501,0.0289164749640797,0.0262229783905934,0.0238024665186287,0.0624645677413306,0.0311645448827535,0.0270025714380026,0.121186034008077,0.0307690795099604,0.0213685210853701,0.0407287040591637,0.0179405522188873,0.0188736656787176,0.0296348584938024,0.017665698649673,0.0241992206359018
"1995-01-01",0.0413543405031503,0.0521594923498526,0.0433935290262697,0.179760051608271,0.052720019452034,0.0423007156272897,0.173280083912018,0.0653781263655369,0.038928522674721,0.077489454795995,0.0404945238751143,0.0454017995568913,0.0604397938299368,0.0422253977667859,0.0446741486561333,0.0119807365412636,0.00404678231227998,0.00798038696463658,0.0121014068957513,0.0127993724743994,0.00814404031856964,0.0734029263355425,-0.00777112490658295,0.00582677333984575,0.0140407682130799,0.00324334105552963,0.00484387926047085,-0.0100608902852577,0.00619367130527047,0.0135060172539126
"1995-04-01",0.045158298447942,0.051791461977515,0.0436049986027302,0.171633473462161,0.048324077441108,0.0462138349883266,0.175489312227877,0.0592190498308496,0.0362445757149478,0.0839196303058458,0.0452449986364069,0.0498013523870723,0.0552540034205774,0.0408652195176641,0.0472357130389761,0.00494902849975814,-0.00377077953830031,0.00396949979128772,0.0195448101371178,0.0108762856849978,0.00911866358932401,0.00914821587144417,-0.0033827754045709,0.00375900888438324,0.00489195375587213,0.00716120014961324,0.00773438265929386,-0.00881346344501442,0.00297678272740444,-9.46742088437174e-05
