"topic","term","beta"
17,"direct",0.00104883492865987
18,"direct",0.000237940835245999
19,"direct",0.0010821711793548
20,"direct",0.00154821258480299
21,"direct",0.00227191183627734
22,"direct",0.00274476049230417
23,"direct",0.000157328094699249
24,"direct",0.000149270470576866
25,"direct",0.000133824598446258
26,"direct",0.000838966901338597
27,"direct",0.000266739868692602
28,"direct",5.14974765774072e-05
29,"direct",2.77749411102086e-06
30,"direct",0.000293080637776441
1,"discuss",1.72193944977138e-11
2,"discuss",5.88675908366646e-10
3,"discuss",0.00158433061204111
4,"discuss",8.72633888351892e-05
5,"discuss",0.000424748392371184
6,"discuss",0.00459734768537232
7,"discuss",0.000175304973707029
8,"discuss",1.17374180442443e-05
9,"discuss",2.11658385611668e-06
10,"discuss",0.00162226919050114
11,"discuss",4.81486831361968e-06
12,"discuss",9.37557554188715e-07
13,"discuss",0.00139870227112106
14,"discuss",3.44709042884643e-11
15,"discuss",0.00327852018430643
16,"discuss",3.69459084649464e-07
17,"discuss",4.04126552978543e-05
18,"discuss",4.54675338445355e-07
19,"discuss",5.96211190425169e-06
20,"discuss",0.0018639100427334
21,"discuss",6.9195092063472e-14
22,"discuss",1.47494451114089e-05
23,"discuss",2.60473597359903e-08
24,"discuss",2.93102181089673e-05
25,"discuss",3.89441689027261e-08
26,"discuss",0.000784555798299346
27,"discuss",8.88817140942015e-06
28,"discuss",2.00829927699433e-10
29,"discuss",1.1692776427619e-11
30,"discuss",0.000918471226418446
1,"domest",0.000443690727823221
2,"domest",2.90111759141008e-13
3,"domest",0.000848979596928291
4,"domest",0.0031143235825683
5,"domest",4.7165337037812e-05
6,"domest",0.000438834709713423
7,"domest",3.40378164902739e-07
8,"domest",0.00237114373333165
9,"domest",0.000438768052264471
10,"domest",0.000111429372530029
11,"domest",0.000318905665009046
12,"domest",2.88655555199114e-13
13,"domest",0.000482883536957999
14,"domest",0.000122830768711943
15,"domest",0.00118955341199817
16,"domest",0.000724130252810699
17,"domest",0.000151205850051974
18,"domest",7.31077780914531e-15
19,"domest",3.64860590548041e-09
20,"domest",2.40870157928425e-07
21,"domest",3.05637544845201e-08
22,"domest",1.20173752587441e-07
23,"domest",0.00404453866192938
24,"domest",0.000152222471875934
25,"domest",0.000874652558226967
26,"domest",0.00121116952577522
27,"domest",1.94423243950471e-06
28,"domest",2.74644196929918e-09
29,"domest",0.00654414844699823
30,"domest",0.00212270101623112
1,"econom",0.00357840841431875
2,"econom",4.20482026245906e-07
3,"econom",0.0132877759024643
4,"econom",0.013315863282399
5,"econom",3.39224826800584e-05
6,"econom",0.00771268635390385
7,"econom",0.000570221862412318
8,"econom",0.0134816986026878
9,"econom",0.0016489419834688
10,"econom",7.51692861758602e-07
11,"econom",1.56410527617761e-05
12,"econom",0.002000228557731
13,"econom",2.34179482039714e-07
14,"econom",0.000271460922307039
15,"econom",0.0137634312952512
16,"econom",0.0105219405324334
17,"econom",0.0133906495071741
18,"econom",1.59605504175666e-09
19,"econom",0.00887283256266431
20,"econom",0.00614061439407644
