"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","economi, recess, now, even, fall, mani, cut, last, time, much, still, sinc",0.0197,0.0276,0.035
"Topic 2"," ","year, last, month, two, first, end, three, next, sinc, week, five, time",0.0226,0.0225,0.0303
"Topic 3"," ","committe, polici, feder, condit, direct, monetari, reserv, fund, stabil, rang, financi, maintain",0.081,0.042,0.0154
"Topic 4"," ","stock, percent, point, index, fell, rose, investor, gain, close, day, week, share",0.022,0.0211,0.0428
"Topic 5"," ","unit, american, countri, state, world, trade, nation, global, america, develop, intern, mexico",0.0183,0.0259,0.031
"Topic 6"," ","member, particip, risk, note, outlook, effect, howev, like, pressur, recent, might, view",0.0752,0.0424,0.0162
"Topic 7"," ","health, insur, cost, care, law, rule, pay, bill, servic, provid, requir, use",0.0179,0.0354,0.0312
"Topic 8"," ","percent, report, month, week, show, last, increas, depart, sinc, rose, data, figur",0.0229,0.0219,0.0395
"Topic 9"," ","like, way, use, one, chang, even, much, make, exampl, differ, long, seem",0.0199,0.0625,0.0355
"Topic 10"," ","percent, quarter, year, billion, share, expect, analyst, profit, million, earn, compani, sale",0.0209,0.022,0.0317
"Topic 11"," ","loan, credit, mortgag, borrow, interest, debt, payment, lender, card, consum, lend, pay",0.0284,0.0341,0.0246
"Topic 12"," ","bond, secur, treasuri, yield, million, note, debt, issu, price, corpor, week, percent",0.0286,0.0239,0.025
"Topic 13"," ","hous, sale, home, retail, price, new, year, start, store, real, buy, buyer",0.0282,0.0227,0.0243
"Topic 14"," ","fed, interest, feder, polici, reserv, economi, inflat, rais, term, expect, meet, point",0.0255,0.0328,0.031
"Topic 15"," ","incom, school, peopl, famili, year, educ, univers, student, work, american, live, high",0.0179,0.0286,0.0314
"Topic 16"," ","new, state, citi, york, million, governor, public, local, servic, author, district, help",0.0178,0.0244,0.0294
"Topic 17"," ","price, oil, energi, inflat, increas, consum, month, rise, food, higher, cost, produc",0.043,0.0262,0.0218
"Topic 18"," ","build, develop, citi, project, plan, new, apart, center, area, hous, rent, properti",0.0178,0.0256,0.0327
"Topic 19"," ","presid, elect, vote, polit, hous, administr, support, white, polici, issu, congress, candid",0.0172,0.0251,0.0374
"Topic 20"," ","govern, polit, minist, russia, countri, power, nation, war, leader, prime, militari, reform",0.0168,0.025,0.0375
"Topic 21"," ","quarter, increas, declin, continu, inventori, remain, busi, pace, fourth, level, second, activ",0.0749,0.0262,0.0153
"Topic 22"," ","one, peopl, day, like, time, work, mani, call, back, live, two, show",0.0172,0.0255,0.038
"Topic 23"," ","offici, meet, deal, plan, group, includ, week, call, agre, negoti, issu, announc",0.019,0.0299,0.0354
"Topic 24"," ","compani, busi, execut, corpor, million, manag, oper, firm, servic, deal, custom, industri",0.0173,0.0276,0.0351
"Topic 25"," ","inflat, expect, period, term, remain, longer, continu, project, run, staff, declin, measur",0.0782,0.0326,0.014
"Topic 26"," ","bank, financi, central, govern, crisi, billion, institut, regul, money, capit, lend, system",0.023,0.053,0.0294
"Topic 27"," ","china, dollar, japan, trade, foreign, currenc, export, chines, import, unit, japanes, yen",0.0258,0.0241,0.0273
"Topic 28"," ","get, say, peopl, now, one, make, just, think, want, like, thing, good",0.0161,0.0265,0.0405
"Topic 29"," ","growth, spend, consum, economi, busi, slow, recent, continu, household, demand, incom, invest",0.0502,0.0297,0.0225
"Topic 30"," ","european, europ, euro, countri, union, germani, german, franc, debt, govern, greec, zone",0.0186,0.0233,0.0297
"Topic 31"," ","tax, cut, budget, spend, billion, plan, govern, year, deficit, increas, propos, fiscal",0.0188,0.0241,0.0326
"Topic 32"," ","product, industri, manufactur, order, factori, car, good, cost, high, plant, demand, output",0.0287,0.0266,0.0232
"Topic 33"," ","fund, invest, investor, money, manag, stock, return, asset, percent, year, financi, valu",0.0222,0.0334,0.028
"Topic 34"," ","job, worker, unemploy, employ, labor, work, wage, benefit, year, hire, month, forc",0.0286,0.0258,0.0254
