"quarter","wordcount","inflation","growth","employment","rates","profits","indprod","housing","nresinv","consum","fedgov","equities","other1","other2","other3","other4","other5","other6","other7","other8","other9"
"1993-01-01",291.628834355828,0.0254554657974603,0.0263092260723466,0.0244146796237306,0.0549467495745211,0.0459598424106923,0.0230760844058628,0.0215019506806749,0.0178755562545456,0.0221928837293603,0.05074777220162,0.107556487859349,0.12454960178393,0.0445651679446002,0.0701976186419976,0.068424530644132,0.0532889728466467,0.0334055083683913,0.0847838279463191,0.0480103364866192,0.052737736727201
"1993-04-01",284.365296803653,0.0299876515685726,0.0218699432989485,0.0210242156909071,0.0574318668002403,0.0449785742526222,0.0235915151359321,0.0230180788012505,0.0200239456178652,0.0240063001524775,0.0525982527685447,0.119888866630921,0.129249460847153,0.0463843473621683,0.0452449855851597,0.0491271904446587,0.0627831554561742,0.0339996083803019,0.0853585179822959,0.0504753657153423,0.058958157508464
"1993-07-01",288.07037037037,0.027483427412842,0.0248906870224048,0.0216624909225154,0.049149157076338,0.0419141891651845,0.0266596104274912,0.022294393721962,0.0195435971597919,0.0226020405561362,0.0366886440520477,0.109745251969641,0.128884920733188,0.0419264716667459,0.0757637834833726,0.0544312026052884,0.053759610165035,0.0283965530047467,0.0893162615379642,0.0579454145356201,0.066942292781684
"1993-10-01",305.452574525745,0.0244798671778621,0.0220593645237313,0.0211587736469295,0.0420253305820869,0.0515533426614575,0.0259762073132841,0.0227636804851199,0.0161470676717434,0.0240069351318924,0.0338402181224312,0.111350370489883,0.115935130748036,0.0351205735022941,0.0864180104731221,0.0598850531640452,0.0693473364425657,0.0307768319423952,0.0930691065325512,0.056221051753261,0.0578657476353085
"1994-01-01",279.795731707317,0.0311703866297443,0.0210689305655275,0.0239121130531996,0.0525319015691138,0.0491465934424657,0.0265006041044697,0.0235865920752957,0.0222199789439635,0.0230403662601005,0.0431382168460712,0.123691890861518,0.118753642740897,0.0346783027251364,0.0685318131095857,0.0653846021020071,0.0491650085509103,0.0292302088414765,0.087111042569584,0.0468719731815622,0.0602658318273715
"1994-04-01",298.204188481675,0.0353077497309842,0.0240579854208023,0.0151457181806042,0.0569100894831834,0.0575473291541913,0.0319799198056481,0.0230154111712397,0.0247095063743854,0.0241040052152143,0.0266873277183042,0.139102360719217,0.0885833429193039,0.0325596598429426,0.052326865886198,0.066749583658195,0.0567141271769818,0.0325506091284757,0.0820355666672777,0.0586173519614848,0.0712954897853664
"1994-07-01",283.186893203883,0.0359966950666644,0.0239631531013337,0.0205773699631734,0.0589627628806722,0.0446288829416642,0.0260189572710191,0.0217804681390006,0.0270997515956268,0.0232195238785082,0.0370117923038543,0.13423667375517,0.106791273493956,0.0348641437179438,0.0617928767379896,0.0601372457657509,0.0491044011075421,0.0318346610060835,0.0850607674680064,0.0574112028232094,0.059507396982831
"1994-10-01",279.700748129676,0.0308238395924386,0.0202872147122672,0.0151960626083035,0.0591999333616392,0.0543122690164531,0.0241255592299988,0.024152834458963,0.0291891465247615,0.0248291912652595,0.0389360488604647,0.128577530594446,0.114589409252875,0.0277504300465126,0.0656287472474025,0.0589424214549836,0.0469165361203818,0.0414938632622845,0.0785010465607257,0.0527568891606675,0.0637910266691721
"1995-01-01",292.047619047619,0.0252077265415417,0.0226861858280962,0.0240975559717112,0.0531855530680517,0.0567007640764997,0.0218148061025011,0.0211351318880012,0.0253649687606664,0.0243892676676534,0.0442512340753693,0.130308159594542,0.0978528386678222,0.0381895565643117,0.0441043947621792,0.0601158464688032,0.0484443379229931,0.0450352595578773,0.0909249496952845,0.0684519414436527,0.0577395213424417
"1995-04-01",299.375,0.0231464847787386,0.0236533080546382,0.0181356946663296,0.0483478678383533,0.0559621055974949,0.0253192247276886,0.0341901057012788,0.0192901114046415,0.0257035414723166,0.0524818346750611,0.128856818265257,0.11222802314699,0.0386700378300327,0.0460187407165086,0.0563348847577251,0.0474182592724742,0.03179085537047,0.0911082000523951,0.0671390928276011,0.0542048088440046
