"quarter","wordcount","inflation","growth","employment","rates","profits","indprod","housing","nresinv","consum","fedgov","equities","policy","other1","other2","other3","other4","other5","other6","other7","other8","other9","other10","other11","other12","other13","other14","other15","other16","other17","other18"
"1993-01-01",82.3731343283582,0.0307762428904529,0.0221157059230615,0.0224434436512704,0.0142113881252355,0.0138414852606066,0.0269010496834687,0.0199144421289258,0.0161516375923506,0.106079145638149,0.0231026053890888,0.0181103926907579,0.122011589469531,0.0138701110471775,0.0121366405151424,0.0436411333130214,0.0158237611704697,0.0139845919777947,0.0373903078718007,0.0143043311624064,0.0183013147340638,0.0133576361269824,0.0298484283375527,0.0115385482729435,0.013281177965224,0.0115672872652907,0.0246637025534428,0.167019069232613,0.0140356639659179,0.0984319810034778,0.0111451850417801
"1993-04-01",73.8823529411765,0.0372569068615794,0.0265040686672736,0.0221306385095647,0.0140570319277611,0.0130272545249346,0.0357074850468026,0.0135978308954503,0.0147808795897096,0.100500084178898,0.0172864872273606,0.0146108339097372,0.142463700845151,0.0111808678150648,0.0202109505233001,0.0458195251878229,0.0138752502366411,0.0121427354527777,0.0309643617693331,0.017642182262789,0.0138019254843499,0.014702057447794,0.02394776421577,0.00960667279969663,0.0117803803872429,0.0139863738336428,0.0193559518132145,0.164191961194649,0.0222251462732845,0.0882491171267047,0.0143935739917009
"1993-07-01",75.1224489795918,0.0379701008611601,0.0280717171315109,0.019345678348426,0.0173689970106926,0.0148665300515538,0.0334774428453883,0.0174155261464496,0.0160831620429867,0.0959972731531075,0.0184507840806567,0.0181759737665431,0.131184119649187,0.0121686165767536,0.0138637727533735,0.054985592025566,0.0132493705356695,0.0131543212397276,0.0307221287899468,0.0143867068878752,0.0180030405758786,0.0133892044725649,0.0255209493469715,0.0131766117556651,0.0139806247500514,0.0108238299533469,0.0215792493216973,0.157090219360599,0.0163645192801098,0.0948236214264694,0.0143103158600708
"1993-10-01",73.4057971014493,0.041456502024409,0.0311877237826391,0.0177378233166163,0.0148593848097236,0.0135611386229333,0.03182504698467,0.0188370614911992,0.0126294387531757,0.102249894398815,0.018337229560733,0.0200301722015882,0.132215623172925,0.0133233977724496,0.0152999467344433,0.0459418936499248,0.0214539215133554,0.0165481900582931,0.031607086830556,0.0126513781742605,0.0161106431263814,0.0127281663419018,0.0257951431614817,0.0129626614518198,0.0154028542090302,0.0101249789794557,0.0150429426124642,0.161362388438916,0.0166033193120199,0.0876713736297598,0.0144426748840595
"1994-01-01",74.7260273972603,0.039014015292499,0.0313480272061664,0.016662239978515,0.013711289879578,0.0127697515615206,0.0309913243368292,0.0156886444171443,0.0162059026494771,0.0846844793346864,0.010506928331619,0.0190771027845323,0.140945071522922,0.0135113064402579,0.0123916505456114,0.0513682929990056,0.0139423863829484,0.0163791224031579,0.0310024250754979,0.0131622450561345,0.0220201865927359,0.0129217448562476,0.0246976595827578,0.0156810637292922,0.0196337423621844,0.0143184873554962,0.0197446748769211,0.176624879346411,0.0196772204891478,0.0764958861652759,0.0148222484454274
"1994-04-01",74.3030303030303,0.0377224357947884,0.0312047717242122,0.0214134378278915,0.0127579529084997,0.0116519646178163,0.034955985280267,0.0211087683472475,0.0196262421080612,0.107743567604584,0.0110386085914488,0.0214542413007875,0.133332983627837,0.0106963348319464,0.0139351069247058,0.0433957146022351,0.0178610393090809,0.017785572901573,0.0331878124471369,0.0113981792565023,0.0208565951155954,0.0133511740406947,0.0372006417755286,0.0103038530145221,0.0129787706675497,0.0110888281084342,0.0123499317312083,0.157087101544254,0.0139842589509609,0.0835814982941843,0.0149466267504467
"1994-07-01",74.343137254902,0.0347555060858752,0.0287074893277859,0.0192784318160415,0.0150503739800023,0.013765000185519,0.0334538228168307,0.0178709431489128,0.016721059914735,0.111646404287387,0.0113389467146312,0.0200869280746755,0.133430950174723,0.0136902040540811,0.0144483983577635,0.0448563530388914,0.0140945874810098,0.0134612799709261,0.0341593579863637,0.011096603348901,0.0192741761173624,0.0121420340922664,0.0302243278566964,0.0122146036609755,0.0154634482871289,0.00995169554544262,0.0172040562632164,0.172319143133108,0.0169031684325791,0.0803917596032465,0.0119989462429219
"1994-10-01",75.2463768115942,0.0307904536191808,0.033633371279995,0.0202340011560837,0.0132353530498047,0.0161348457545636,0.0352355674829659,0.0149751820643523,0.01726682622754,0.100101873812558,0.0130819888947394,0.0172809324775143,0.133825068102574,0.0105487583454654,0.0116754964725898,0.0436839560865533,0.0225752674054613,0.0169626738305402,0.0315176036642324,0.0132575194643098,0.0255898668630273,0.0101193700453449,0.026211979854119,0.013715401798231,0.0154872576282416,0.0115994797934812,0.0191199094982716,0.176111131531155,0.0125049716916645,0.0811238260682975,0.0124000660371426
"1995-01-01",73.8,0.0282698191540162,0.0321082719042776,0.0196752703960394,0.0116105172551832,0.0141162900618554,0.0363852316895299,0.0192670638318698,0.0144425504520923,0.0923123858957807,0.0137124992795151,0.0236658653603654,0.131225218275108,0.0115037262500937,0.0212769408273654,0.0462978740600463,0.0126080921977743,0.0185179069256451,0.0373694746618288,0.012512103442238,0.0201956702630244,0.0088993176044423,0.0323038629543317,0.0102749747024885,0.0152372862081023,0.0119987728621157,0.0205581293209743,0.185430265927397,0.0142028459123691,0.0718261228991634,0.0121956494249661
"1995-04-01",72.6363636363636,0.0336700716158321,0.0275608905175294,0.015041140345965,0.0132396621063497,0.0119133986182547,0.0427914858873375,0.0215373152148911,0.0132719278461632,0.10888463014566,0.0203514366394482,0.0214952945702193,0.115505978225763,0.0118396954439577,0.0217355477712161,0.0352025258807003,0.0169978487043032,0.013081163917144,0.02924172689733,0.010949772403648,0.0218679195427784,0.013149729900067,0.033559171950354,0.0139954828701196,0.0165529693020847,0.012264200249032,0.0202894526861588,0.172375732763361,0.016491799793877,0.0848004020930136,0.0103416260974424
