"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","pre_meet_T25","pre_meet_T26","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","post_meet_T25","post_meet_T26","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","pre_pub_T25","pre_pub_T26","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24","post_pub_T25","post_pub_T26"
"FEDm_1",0.0518209790792171,0.0215445445474732,0.0506570500676487,0.0524448834886292,0.0219671437948675,0.0225453100446222,0.0516333640975283,0.0448641730592423,0.032009530078809,0.0302087342962378,0.0535380799595431,0.0388591103259266,0.0312386191215175,0.0439808916699088,0.0540273057600989,0.0315847399830088,0.0458365210968458,0.0477474068867974,0.0235133937861327,0.0297544548593792,0.0398023678351533,0.0464926345697984,0.0369126337079714,0.0174384840574552,0.0471451608190774,0.0324324830071102,0.0632044986535667,0.020289177289906,0.0566886549125279,0.0401522070991028,0.0218178330492444,0.0254224859244021,0.0382375795646948,0.0438524086879477,0.0341445608257852,0.039288667217751,0.0525508368122034,0.0374215744146683,0.0251240293622272,0.0467290514493643,0.0580617729613031,0.0254028593362351,0.0534989869835689,0.0334243311542002,0.0201127563819294,0.0294605601439394,0.0445268354313015,0.0552226186271336,0.0331163266296326,0.0185717796766668,0.0454442700591455,0.0382333373515522,0.0441314636991282,0.020293994926313,0.0507578347536633,0.0387714550020346,0.0194254360976163,0.0239765143193556,0.0272580042647619,0.0719362486695595,0.0366155330937858,0.0452551898645663,0.0457522575893792,0.0454542392555313,0.0270484601990714,0.0510168682108493,0.0993821132831076,0.0204184624879745,0.0567404403883357,0.034946011746719,0.0227807900465965,0.0287868750988961,0.0368439918469463,0.0427174280833884,0.0393474927025872,0.0161784292709979,0.0290453352200863,0.0251191298787486,0.0652657698775081,0.0195719709878825,0.0451251063080442,0.0419749882110439,0.0209352832467777,0.0324074064804705,0.0292261824701557,0.0414950160388861,0.0361321626505475,0.0394843965020261,0.0548516907954408,0.0450758267161042,0.0257965307919682,0.0467493550073597,0.0842492559417313,0.025336441729197,0.058187162613089,0.0301657140672124,0.0221214071430912,0.0324902772001302,0.0404242521820528,0.0490280585865368,0.0299146092768946,0.0179716484881391,0.0400541692016512,0.025965317486059
"FEDm_2",0.0503101028296252,0.0209948611306917,0.051947822805624,0.0387830550489648,0.0194441440547646,0.0274313031842812,0.0279940921286851,0.0542399796946159,0.0340959439265399,0.0467117207532139,0.0496325662417914,0.043012969326651,0.0232407411511022,0.04929955668338,0.0945307379916477,0.0219862298143002,0.0584503137969125,0.0356388661974132,0.0273016473942726,0.0294808341194035,0.0303676669068856,0.0459710866835948,0.0373924407451422,0.018890298051533,0.0315129463213761,0.0313380730175875,0.0537144598885579,0.020252971047234,0.0423647796226213,0.0348555399436501,0.0212627145726793,0.0288898235887185,0.0347220337157223,0.0477055993626523,0.0397034661079383,0.0389983271525342,0.0551153467654564,0.0395578629032973,0.0274813399517367,0.0463193392197323,0.0921763763855406,0.0233880842162585,0.061792843155717,0.0328901427184031,0.0230327474568089,0.0383916774225052,0.0442782739905043,0.0503210997536802,0.0274882236864846,0.0188162924827705,0.0306817759587673,0.0257988589300288,0.0620157873312502,0.020143212484575,0.0581465187790641,0.034921703299261,0.0188597279774356,0.0347572187159276,0.0392619604868638,0.0417848792483289,0.0365907269479851,0.0382868474222723,0.0390011938318734,0.0519596494088167,0.0195551834291597,0.0428630573275454,0.0654216890776495,0.0184567891902651,0.0567925963976494,0.0368244030889663,0.0284185066848024,0.0357980105642121,0.0407492785914143,0.0513817089881498,0.0397483497551136,0.0167701249689103,0.0381792202893253,0.0333116557131829,0.0601603120029528,0.0194085070984844,0.0625429060048718,0.0400385963238503,0.0217284603669589,0.0251695887696438,0.0392346778757143,0.0504447559771388,0.0391369196690709,0.0556990318449707,0.0422902156825536,0.0397736027582741,0.02515996828188,0.0406342535099298,0.0670054184835436,0.0256126145051225,0.0486676214504154,0.0358520826983586,0.029963137743135,0.0283851792048392,0.0424015061052801,0.0386869465961286,0.0353635884311501,0.0184830802389832,0.0358984949591488,0.0322585334176009
"FEDm_3",0.0602784803107036,0.0203563655107729,0.0594410966185121,0.041075885990611,0.0190110841768452,0.0323532989904569,0.037359390423459,0.0458272396353174,0.0338008491033224,0.0361853928845075,0.0443837848570137,0.0485254333671807,0.0220195222068122,0.0444870797604951,0.0568586849854242,0.0196923546659247,0.0597881068524755,0.034538989974539,0.0349233610668973,0.0348854217883441,0.0302601892356955,0.0569492840599113,0.042669402528299,0.0170034773701232,0.0346912269525056,0.0326345966838509,0.0623999509654814,0.0202860796126369,0.0517106367894838,0.0365496238730482,0.0227082599625758,0.0306644571418548,0.0371255946151988,0.0380393604290899,0.036078539437825,0.0529518074982804,0.039563566317907,0.0430686026390601,0.0182882214227758,0.0436009402376829,0.0664757064725543,0.0221433967430814,0.0509174340802826,0.043984736078374,0.029172433868409,0.0319356752583221,0.0443884023121278,0.0517562550924665,0.0356960139870104,0.0188515864925483,0.0360510142465664,0.0355917044253565,0.0698150992800228,0.0216808845155823,0.0500723356487406,0.0314482487048388,0.0209213713942073,0.0238830806190571,0.0378188158244621,0.0325899640151432,0.0422479754708078,0.0283509214620851,0.0415775933507278,0.0500295444712486,0.0177863727161891,0.0456843473153812,0.0876767904661967,0.0232956939073507,0.0602071009689409,0.0410136192725302,0.0259732620694415,0.0184807427878867,0.0621889592574075,0.0335678702123962,0.0360861556914547,0.017331053162398,0.0431667875885055,0.0371054098269976,0.0641999422695032,0.0197170295970643,0.0546003704453066,0.0330271668647844,0.0209707700538485,0.0290342497041463,0.0319485996271364,0.0529124490504002,0.0394863306365248,0.0353315542819359,0.0464843011520143,0.0423470478507777,0.0232588098069249,0.0436820361449647,0.0665731803106194,0.0224900931423248,0.0560297318824662,0.0416897247622963,0.0346279787249101,0.0219684971916458,0.0510275006051723,0.0320602802397842,0.0371908680257373,0.0197620308902421,0.0468323535303165,0.0327471032091528
"FEDm_4",0.0737660812393896,0.0191758345328532,0.0415627609598538,0.0319207420427223,0.0207100734204235,0.0219710299742761,0.0375671451576081,0.0342229243810062,0.0406056008811126,0.0264933777305904,0.0452485975613927,0.0445456112358867,0.0227493145096359,0.044353031537572,0.100098481583213,0.023509509576964,0.0550715967175324,0.0439655868097012,0.0203021572628415,0.0230770715802925,0.0620389247439997,0.0357890955915335,0.0350736630366833,0.0168836213350787,0.0428595979371586,0.0364385686606789,0.0697761591163422,0.0201370701822908,0.0472273935421212,0.0392521246050535,0.0219340319339355,0.0303134248621127,0.0290554433142075,0.0483381026000052,0.0394611898936994,0.0358175959846897,0.0469815207357133,0.0484409038549474,0.0223733802543505,0.0429318381814525,0.0669405515370538,0.0214060724565703,0.0555551350941136,0.0412647323188562,0.0254811809696835,0.0228293865507287,0.0534558213481525,0.0346226087685982,0.0405257526769968,0.0209035355111137,0.0438344383323278,0.0311406053748832,0.0647647008135468,0.020012902445685,0.0557108051967324,0.0364457333938314,0.0185737973194332,0.0403414087202925,0.0413904349178295,0.0488250644685361,0.0333244367092865,0.0402484925457825,0.0450986857331365,0.074951141009288,0.0292503960934912,0.0415735511826174,0.0451368843175758,0.0249473094895688,0.0540907382224904,0.0303335690643955,0.0242677512438176,0.0245111349963982,0.0515921482732403,0.0375601508349933,0.0331873224405345,0.0192299183151268,0.0393335577593535,0.0252979644930162,0.0524998220923586,0.0191464071110763,0.0519617393713877,0.0367947588257971,0.0238192233241084,0.0330312474668919,0.0387285247329248,0.0541809222674647,0.0370330359154752,0.0383558170362582,0.0374347197372024,0.0390535288962244,0.0251657047362096,0.0515325381532058,0.0904396104853035,0.0265115430064741,0.0453181476600969,0.0266413307980337,0.0262523491524549,0.0331237393254052,0.0489977605731911,0.0358477556089882,0.0303237140575285,0.0166895918173781,0.0417768673662898,0.039339600482271
"FEDm_5",0.049360058854372,0.0209298769443359,0.0510758978582446,0.0361316165559336,0.0197629504843351,0.0401680761599102,0.0320778840578791,0.0479716968309675,0.0384952613907002,0.0407844329562781,0.0466921322488463,0.0669623377909477,0.0230670714685042,0.0441588430311157,0.0550682089070463,0.0237163022141619,0.0503409633536485,0.0324494612044411,0.0251552971295192,0.0325485850191853,0.0468289878601498,0.0506257860209938,0.037473104347404,0.0197888730149428,0.037886287982032,0.0304800063141049,0.0560841814053201,0.0195010459900105,0.0609183324699666,0.0333443569976898,0.0245758793014624,0.0299489213936266,0.0398651411576611,0.0451607855088797,0.0320369570542187,0.0331300124212228,0.0488843631102955,0.0471635753544037,0.0237277327955083,0.047253196669356,0.0841905990553004,0.0240211121568572,0.0376742343196048,0.0364173532699689,0.0266281224963993,0.0346737267316522,0.0617266740716229,0.029654927577087,0.0353248496774344,0.0185096005121097,0.0333139440018363,0.0362703745005052,0.0755038813088608,0.0202509665190383,0.0306896497983185,0.0389626132886074,0.0200701245744185,0.0415065922228605,0.0402113105075733,0.0403147676357592,0.0371344348576903,0.0396650720309313,0.0357454740581589,0.053962544775822,0.0199053399288763,0.0419190583918034,0.0932772916939913,0.022044291591344,0.0601594694548966,0.0337879547355454,0.0194576453733765,0.0324456038940105,0.036546471149149,0.0512030864153564,0.0280200537543826,0.017026263710375,0.0395659311646039,0.0306241071642502,0.0564497941116872,0.0201552881698453,0.0562244707871778,0.0427484492428149,0.0215438102859574,0.0241803767294449,0.0336533512132637,0.0481829887517133,0.0404146619346152,0.0427091515385929,0.0503442389711819,0.0499246942292525,0.0337054123700176,0.0394747258929991,0.0687367547798059,0.0259102508348627,0.046518933966517,0.0303047621132275,0.0337710788620209,0.0239738426603597,0.0379936378880455,0.0361892469984905,0.0442539197871902,0.0215447666144041,0.0386814905505128,0.0324099007159993
"FEDm_6",0.0669198652239663,0.0200244137618674,0.0478276122923036,0.0404625693085239,0.0210751834293948,0.0413892481303319,0.0446571600082862,0.0371988707183225,0.0356709568832557,0.0388828743082677,0.0566866378807503,0.0564550101014237,0.0263161645024789,0.0421445754587012,0.0722186655668715,0.0207842521706624,0.0493754499234919,0.0292672587300629,0.0262194698676741,0.0347801915002614,0.0406872322629852,0.044420281790198,0.0282474911114172,0.0190028513129094,0.030662236192423,0.0286234775631689,0.0679852749251619,0.0218381914543952,0.0336387539201439,0.0373685377767435,0.0209524457272911,0.0281748720224859,0.0324144473285799,0.0333575699454542,0.0399483185202617,0.044777138812519,0.0426842855581142,0.0531970620860909,0.0257569524871646,0.0417327410186042,0.099240732639637,0.0246862925948484,0.0547080315735963,0.0342120372180916,0.0242844983055274,0.0288491974268083,0.0330443837289982,0.0461112344681278,0.0405532716999289,0.0177855221286298,0.0412748387809007,0.0314233678518952,0.0665358583920706,0.0206047571954988,0.0467364438241862,0.0393793274713467,0.0220653598583622,0.0319741114885926,0.0326754626901417,0.0338646903104221,0.041602670291341,0.0742242507301731,0.0439091042202219,0.0431187833056179,0.0217074014966827,0.0406696156695584,0.060035084830002,0.0226146619648075,0.0601539226123014,0.0263760388587827,0.0224710217713772,0.022131500524826,0.0621175850954855,0.0329546619619105,0.0319104927110713,0.0181790069655158,0.0440073610298337,0.0379808247298706,0.0644839410367406,0.0199321068227903,0.0571246428450271,0.0444234860798426,0.020393641001046,0.0339778822644823,0.0331470711653121,0.0381610787043082,0.0320133544556149,0.0333619396100838,0.044601279223557,0.0417479832558642,0.0241737476912053,0.0510511234106783,0.0789857004704301,0.0228173833523094,0.0496705857195191,0.0337050340193912,0.0212558416204243,0.0299582316727143,0.069623326025781,0.0287189601699121,0.027546442489221,0.0209531882781737,0.0400269586197842,0.0381450699957871
"FEDm_7",0.0487114960733231,0.0211696560571092,0.0595872840922474,0.0420294176125169,0.0202294941189748,0.029824446215701,0.0278311789510209,0.0385170446562599,0.0372871084310843,0.0655397276125663,0.0452202863989542,0.0422161990978183,0.0211527938613855,0.0415295030330724,0.0591133707057504,0.0216076278059512,0.0625761957758174,0.0245817405346113,0.0330617404004613,0.0233828696572816,0.0611620971583476,0.0281902657560775,0.0402166389855739,0.0191120036507873,0.0479924922183581,0.0381573211389481,0.0731304968479276,0.0192404513180938,0.0460880705730154,0.0367005837979078,0.0191235164224521,0.0366432389351987,0.0354828573265585,0.0334855021348961,0.0372442356372307,0.0388733481690775,0.043976861670885,0.0488456132959843,0.0171408890275134,0.0497058806002003,0.0833521980609082,0.0215403047783284,0.0521410184722891,0.0274286253756701,0.0191419769548433,0.0206918307851091,0.0912484105753266,0.0243159042712844,0.0243787249293432,0.01995156534491,0.0409114559727179,0.0392164387223284,0.0610910083249128,0.0171592288958937,0.048890017886868,0.0464842653534136,0.0209714080293675,0.0324500706156367,0.0436843165888793,0.0359207561724646,0.0333135632277775,0.0332118273612844,0.042663658998071,0.0528345625007703,0.0193245932374797,0.0423928975302998,0.0944425387155363,0.022502358409908,0.0613151121616072,0.0315520768139336,0.0208896327229812,0.0338138339941382,0.0431046004947174,0.037568747175405,0.0335636935316294,0.0171828103748856,0.0452465097131933,0.0284259111689458,0.0415658072859418,0.0204718354829346,0.0591785114664329,0.0460725855753768,0.016705297287351,0.038204850485819,0.026419439004922,0.043387822853628,0.0345139346703732,0.0472924112520296,0.0588736380471698,0.0529797792948723,0.0300273452770966,0.0454260924238141,0.0511333143529864,0.0287268289128883,0.0500307027424963,0.0313400849811668,0.0280198597082149,0.028155117256057,0.0455437171102929,0.04368313214069,0.0357693870081495,0.0179581171204189,0.0455909301062846,0.0329294581525927
"FEDm_8",0.0628418078402495,0.0182153371968509,0.0484045612827983,0.0510465518792453,0.020270750716569,0.0321021567137785,0.0432256167375263,0.0344817306501366,0.0305429883298111,0.0301665256991638,0.0490663838137444,0.0468200366827739,0.026169821518649,0.0453839479767774,0.0912892956247081,0.0227246225067026,0.057735987981082,0.0303957490815327,0.0204031542789334,0.0310422132002286,0.0490370354236028,0.0328340798823541,0.0330925981856671,0.0175420684744073,0.0496689218784461,0.0254960564442611,0.0576128012808424,0.0197327189847311,0.0564119958784946,0.0439516367379211,0.0188069154108974,0.0367284741726171,0.0265346518367679,0.0364245419272666,0.0347997413671673,0.0447848248537315,0.0491290676347259,0.0498016218712566,0.0252980170592694,0.0465719490418618,0.076601483846291,0.0234612119433118,0.0566746610403933,0.0299112461855535,0.0254023875775877,0.0274975349342707,0.0385897764373458,0.0460157581282029,0.0323281381772562,0.0176876324353697,0.0481069656124552,0.0311342456244114,0.0713623357695116,0.0229107819250875,0.0491685352505258,0.042118367204036,0.0220602368774932,0.0348819896805874,0.0510268900839552,0.0357835040500259,0.0320255715778084,0.0354046732758283,0.046770484175522,0.0458932823604843,0.025403785357735,0.03847780327047,0.0934090351016448,0.0253352659334919,0.0536752425156303,0.0273033508412431,0.0251451040194275,0.0254217017970377,0.0417248900288139,0.0377504425563906,0.0305106724538235,0.0182452462856459,0.0392359152261608,0.0289548923816195,0.0485618828852194,0.020151823839799,0.0520872660728099,0.0422495031377528,0.0181146733109068,0.0388795024984216,0.0592678615990872,0.0447072184790044,0.0338508226402357,0.0353088208962293,0.0495968495857607,0.0507372322537428,0.0231950160902197,0.04615155299872,0.0630924879106492,0.0212028864193755,0.0538380392760086,0.0299647723169846,0.0234275529765911,0.0298055220843829,0.0412410200794076,0.0511232179155543,0.0399337911430786,0.0180364970669998,0.0348685906360158,0.030605595887043
"FEDm_9",0.0713623357695116,0.0229107819250875,0.0491685352505258,0.042118367204036,0.0220602368774932,0.0348819896805874,0.0510268900839552,0.0357835040500259,0.0320255715778084,0.0354046732758283,0.046770484175522,0.0458932823604843,0.025403785357735,0.03847780327047,0.0934090351016448,0.0253352659334919,0.0536752425156303,0.0273033508412431,0.0251451040194275,0.0254217017970377,0.0417248900288139,0.0377504425563906,0.0305106724538235,0.0182452462856459,0.0392359152261608,0.0289548923816195,0.0485618828852194,0.020151823839799,0.0520872660728099,0.0422495031377528,0.0181146733109068,0.0388795024984216,0.0592678615990872,0.0447072184790044,0.0338508226402357,0.0353088208962293,0.0495968495857607,0.0507372322537428,0.0231950160902197,0.04615155299872,0.0630924879106492,0.0212028864193755,0.0538380392760086,0.0299647723169846,0.0234275529765911,0.0298055220843829,0.0412410200794076,0.0511232179155543,0.0399337911430786,0.0180364970669998,0.0348685906360158,0.030605595887043,0.0543345925645691,0.0173974372081664,0.0629155369400558,0.0505002103348797,0.0193025956356386,0.0236132366620206,0.0828326178629474,0.0532072061342071,0.0322998986970947,0.0422474155012974,0.043047915350996,0.0455193029987707,0.0214627657048838,0.0374902459001219,0.0563282346283165,0.0184877113394209,0.0510296531176963,0.0256562499046421,0.0308562561136593,0.0279037692773462,0.0452501031240561,0.0263950826511289,0.0536308638543483,0.0176709950212631,0.0354603016096359,0.025159801862837,0.0533314747144523,0.0216640502853655,0.0602292262974743,0.0405490663077185,0.0197882460547708,0.0269130166632298,0.0449740697713533,0.0444484892435214,0.0354786139225508,0.0354456232378539,0.0516778731985225,0.0420052263226337,0.0242734765072054,0.0440784532506671,0.0688996052323618,0.0236693295387967,0.0562782468248714,0.0244555989538226,0.0287649887729156,0.0298924470722256,0.0465989942086326,0.0312626403042243,0.0489586913137745,0.0175652949902969,0.0418218228499924,0.0369754341607663
"FEDm_10",0.0554593603947219,0.0190502745428339,0.070629927225554,0.0446122561033435,0.0189460020658656,0.0236055282446326,0.0499409659488912,0.0351355069260381,0.0353535740535494,0.0438336405970481,0.0501612411207493,0.0365599217917052,0.0202435856872241,0.044992691315551,0.0647472119867935,0.0170025407746943,0.0568470138230195,0.0310015214678557,0.0332256345457128,0.0225900430092669,0.0401536454860941,0.045340225940945,0.0442822648574343,0.0180785861617925,0.0441393095088049,0.0340675264198787,0.0560674820006139,0.0192582632388657,0.0538906560828904,0.0422294669023127,0.0212090136147023,0.0244213483487631,0.070392303263416,0.0467044939148751,0.0346615570277404,0.0371585601571317,0.0513797262355268,0.0521427966362834,0.0240023791137992,0.0441909956827203,0.0662108929271382,0.0237283850390991,0.0591123981946894,0.0242196400537417,0.0271227199924223,0.0293431542797719,0.0417015481453242,0.0291239547753102,0.041235703861021,0.0177126878774991,0.0372564150481799,0.0255234575861621,0.0376827856723493,0.0207249915100278,0.0648689836723816,0.0405404819122865,0.0186358067150261,0.030933630630561,0.08432711577665,0.0499841343506608,0.0399200824181024,0.0399420513944347,0.0525901381728753,0.0506556187495994,0.0276741498613923,0.0386285868345726,0.0500858942293447,0.0226382704064794,0.0441333837131726,0.0329487690879706,0.0311216640582796,0.0286658030665151,0.0367469419772031,0.0233670759328037,0.0517526897389234,0.0189023500769273,0.0408180127728644,0.0217105872685965,0.0594261482006723,0.0206202752248106,0.0495027400380894,0.042882006338803,0.0189488427798079,0.0355358017220871,0.0486901811801562,0.0431227742393121,0.0351810336014255,0.0385363037016467,0.0475363707483566,0.0683979302909055,0.0238519408835681,0.0420084571058386,0.0559165575285149,0.0232524982660979,0.0532476380206564,0.0216530777938682,0.0313247914823016,0.0291653700875111,0.0465276559048342,0.0270758293445656,0.0471181930185728,0.0189104190039802,0.0487404938127651,0.0228266696808526
