"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","offici, presid, administr, issu, law, deal, meet, white, group, rule, hous, negoti",0.0232,0.05,0.052
"Topic 2"," ","particip, member, risk, note, outlook, effect, howev, relat, might, continu, recent, view",0.0843,0.054,0.0208
"Topic 3"," ","stock, percent, point, index, rose, fell, gain, share, investor, earn, week, close",0.0283,0.0274,0.0524
"Topic 4"," ","compani, busi, billion, million, execut, year, share, profit, corpor, oper, analyst, last",0.0227,0.0318,0.0442
"Topic 5"," ","committe, polici, feder, inflat, condit, monetari, financi, fund, reserv, stabil, meet, member",0.095,0.0543,0.0203
"Topic 6"," ","hous, home, year, real, new, estat, sale, apart, start, month, price, famili",0.0319,0.0303,0.0326
"Topic 7"," ","fed, interest, economi, reserv, polici, rais, feder, term, point, next, meet, short",0.0289,0.0394,0.0409
"Topic 8"," ","bond, secur, treasuri, yield, debt, note, year, issu, price, back, percent, term",0.0414,0.0335,0.0296
"Topic 9"," ","new, state, million, york, author, general, week, governor, system, feder, revenu, accord",0.0264,0.0314,0.0333
"Topic 10"," ","peopl, school, incom, health, care, year, educ, program, american, famili, univers, student",0.0234,0.0427,0.0433
"Topic 11"," ","percent, year, report, month, last, sinc, week, show, increas, depart, figur, averag",0.0283,0.0287,0.0515
"Topic 12"," ","citi, build, develop, new, plan, project, center, offic, area, communiti, one, space",0.0232,0.036,0.0433
"Topic 13"," ","quarter, product, sale, increas, good, inventori, declin, busi, fourth, manufactur, first, third",0.0767,0.0323,0.0248
"Topic 14"," ","now, even, like, much, just, time, seem, way, one, economi, problem, recess",0.0234,0.0505,0.0521
"Topic 15"," ","govern, polit, presid, elect, nation, countri, leader, power, russia, minist, war, vote",0.0221,0.0342,0.0557
"Topic 16"," ","growth, economi, spend, consum, slow, busi, demand, continu, recent, incom, recoveri, household",0.0581,0.0375,0.0292
"Topic 17"," ","peopl, one, time, say, get, like, want, work, day, just, now, think",0.0217,0.0351,0.0556
"Topic 18"," ","european, bank, countri, europ, euro, central, govern, union, germani, german, franc, crisi",0.0247,0.0359,0.0407
"Topic 19"," ","price, inflat, oil, energi, increas, consum, month, rise, year, higher, measur, cost",0.0569,0.035,0.0268
"Topic 20"," ","bank, loan, credit, financi, mortgag, borrow, interest, debt, lend, lender, payment, card",0.033,0.0607,0.0377
"Topic 21"," ","trade, china, unit, dollar, american, foreign, state, countri, japan, world, export, global",0.0305,0.0331,0.0415
"Topic 22"," ","tax, cut, budget, year, billion, plan, spend, govern, deficit, increas, propos, fiscal",0.0244,0.0323,0.0433
"Topic 23"," ","fund, invest, money, investor, manag, capit, year, stock, financi, asset, return, firm",0.0277,0.0459,0.0364
"Topic 24"," ","period, remain, continu, expect, term, declin, project, somewhat, chang, littl, balanc, staff",0.084,0.0378,0.0183
"Topic 25"," ","industri, year, product, like, car, store, cost, use, technolog, compani, plant, make",0.0246,0.037,0.0398
"Topic 26"," ","job, worker, unemploy, labor, employ, work, wage, year, month, benefit, hire, forc",0.0352,0.0331,0.0338
