"speech_id","date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent"
"SPEECH_370","1996-06-13","1996-04-01",47.7878787878788,0.0424111838683364,0.0606573881035734,0.0350264463064422,0.042129373742706,0.0372488597612309,0.0329433923001653,0.0436864180973707,0.056058190233216,0.0670317362009163,0.0322071713183861,0.0372148437988458,0.0847681961923124,0.105591933571064,0.044283548191169,0.0456054174698353,0.0416832312909483,0.0535178222832736,0.0618650433808203,0.0456244797571704,0.0304453241322174,-0.00110983982671004,-0.00261761027460416,-0.00062498285216679,-0.00422367940859588,-0.00210433802268016,0.000630670944744458,-0.0050352321592009,-0.00676373444288897,-0.00578686529836465,-0.000432850331570553,0.00120008244485846,-0.0109310020383865,-0.017959865470188,-0.00162441579974159,-0.000190336387701621,0.00473381962959972,-0.00366902888745017,-0.0116206812463599,0.00291783780067305,0.00137677139679144
"SPEECH_546","1996-06-18","1996-04-01",73.9473684210526,0.039702094832643,0.0763971832455773,0.0271833850556557,0.043686858263182,0.0357626174864619,0.0316353366986096,0.0403331977752963,0.0534817429814233,0.0415501720995123,0.044987819497394,0.0405680460381913,0.119967003293836,0.108907791098071,0.0418916245878457,0.0399997450834641,0.0370303384152622,0.041224952789082,0.039706227022306,0.0659792998394734,0.0300045638967135,0.0170094478547665,0.0241619711464912,0.0099760403608781,0.0102905286730547,0.00750829282737173,0.0102067042912791,0.00743403562255311,0.0224708506256894,0.00792854496392979,0.0147561150118248,0.0117819941476851,0.0318675097548549,0.0192911614839082,0.015550253601246,0.00796235312329454,0.00927154516175157,0.017112575371525,0.0153851735078,0.0205893701729621,0.0152106437618675
"SPEECH_647","1996-09-08","1996-07-01",52.4444444444444,0.0430891823195034,0.110190151657629,0.0353575885239343,0.0665553487126034,0.0870962862329937,0.0393149273311837,0.0388456474682325,0.0684828782834427,0.0712737525262614,0.0489533267637094,0.0330383500664193,0.0593813146789389,0.0317907153758057,0.0455301958704108,0.0319127079229479,0.0341366945898606,0.0398990074972379,0.0403282116985991,0.0384602227419036,0.036363489738383,-0.0178560747354119,-0.0394709009198899,-0.0181957541688714,-0.0290291514264412,-0.0259156187618856,-0.0207660083904163,-0.0152075237853763,-0.0212784356507168,-0.0440680323878505,-0.0206706766717773,-0.0167088066838171,-0.0229228695469101,-0.0165041460885909,-0.0236088603893776,-0.0162506263655011,-0.0152374910898985,-0.0181358929799492,-0.0175302946034403,-0.0166288280245802,-0.0180431871794642
"SPEECH_435","1996-09-19","1996-07-01",40.7083333333333,0.0441137426106836,0.0492572144367675,0.0332944488208748,0.0409634431440332,0.0404683179875359,0.0368693055304219,0.0439101469803983,0.0633351001660465,0.0540242552831467,0.038564820576584,0.0476159860398728,0.0767266549193784,0.0882464378669648,0.045410931482617,0.05872002043515,0.0433791759402849,0.0591699896001829,0.0552053830567604,0.0473026884392591,0.0334219366830374,0.00568879399809572,0.0140253903306162,0.00394550149359357,0.00103685397946094,0.00712624791161924,0.00467108100972527,0.0113320826242153,0.0166210948656584,0.00402617949992223,0.00688845441563653,0.00935599977287865,0.0152653731788642,0.00409355182922586,0.00683044264711759,0.00542472575722504,0.0100208833304316,0.00313716600252525,0.0104003342007504,0.00960484487976302,0.00602260131757819
"SPEECH_574","1996-10-02","1996-10-01",49,0.0833669151858503,0.0416409207415814,0.0297690551337141,0.0437828261821469,0.0391526318164282,0.0398126265830997,0.0416555930859662,0.0459590866248774,0.0393597640030085,0.0552760456662392,0.0524045498999645,0.0550957147635118,0.0955499929213404,0.0438876544644754,0.035721320263838,0.0396167914526437,0.0550440271683555,0.0437205996053401,0.0740369540041539,0.0451469304334647,0.018017393266922,0.0157493333998776,0.00482742452287941,0.00555212869018228,0.0036591204079928,0.00509610273842031,0.00914961222054311,0.00820145959130293,0.0147949341660829,0.0163127064029911,0.0171851891151362,0.00727468565439221,0.0104539206907641,0.00872387749386453,0.012249190107173,0.0116598382275332,0.0132063547355523,0.014645136465589,0.0192910965958366,0.00157555855355779
"SPEECH_371","1996-10-05","1996-10-01",50.9130434782609,0.0391665747978901,0.0508203635128082,0.0365301290636086,0.0498067818236987,0.0390379916296134,0.0343915944513203,0.0472465051412789,0.0559033147821742,0.0648769648380072,0.0362487189612364,0.0395372393326689,0.0862991190836806,0.107378680313064,0.0359321686387758,0.0599288703271842,0.035372980821032,0.0473960009338065,0.0457701187939065,0.0538331775971491,0.0345227051570961,-0.0100500209218015,-0.0160007342656667,-0.0121931103697188,-0.0203262944769272,-0.0116543823624227,-0.00891936885343157,-0.010836381348839,-0.0139340847438278,-0.0177864453994395,-0.00989464598643065,-0.0082543291911848,-0.0130240643014582,-0.020607910697844,-0.00852684689026629,-0.00998914856280617,-0.00737641899770371,-0.0103366745106165,-0.0192923499372736,-0.0123132711716728,-0.0108106444998041
"SPEECH_478","1996-10-07","1996-10-01",40,0.0433376207409107,0.0485569235039655,0.0380638752896468,0.0396391805273466,0.0390701365056667,0.0372898832379494,0.0566013751608519,0.0674341634972793,0.0401444731420486,0.0353353638156702,0.0470099942828883,0.066182309161578,0.0686605119940162,0.0764227388956432,0.0791922154160416,0.0427102342662106,0.0497037520859519,0.0467190706777446,0.0387517561470191,0.0391744216515707,0.0164226462855671,0.0206426853021209,0.0154972109261592,0.0183324610397941,0.0188360647586739,0.0131581296414936,0.014946813553485,0.024987924259252,0.0127976100767035,0.0155770189293918,0.0211156020572669,0.0278888519290458,0.0199995586910062,0.0264828035078906,0.0308720200826936,0.0167039234927298,0.0199009827472681,0.0187664492888751,0.0184774298524746,0.0161419171592683
"SPEECH_572","1996-10-09","1996-10-01",51.8387096774194,0.0522757340475191,0.0471616027249019,0.0379066933524351,0.0556343898275429,0.0432369320212257,0.0679084786921196,0.0473753733404732,0.0676596435715183,0.0454969191299806,0.038245097451908,0.0605666719214877,0.0611807565383181,0.0778022691677381,0.0433389041762469,0.0398645902480766,0.0335216523991745,0.0583022927642569,0.0402102045839666,0.0363583190267737,0.0459534750143366,0.00309987913290514,0.00382433269998938,-7.90834529139805e-05,0.00435275128162651,0.00500388167996653,0.00202911267250147,0.00103910939589912,0.00203261833048715,0.00199964073743427,0.00109218737237154,0.00402870707470756,0.0043406784399923,-0.00447781900447193,0.00439460695864639,-0.000869064446397243,-0.00215800798691381,0.000984289290376834,-0.00254532997638059,0.00256012716717932,0.00330261689675315
"SPEECH_573","1996-10-11","1996-10-01",54.875,0.0847740852734741,0.0447670568347622,0.0316676598053905,0.0572313497443027,0.039886143888564,0.0402349868924563,0.0714658438371584,0.0726789909785818,0.0476207951091019,0.054814618323901,0.0436088005232486,0.0685217031077449,0.0430193520638957,0.0529077856372254,0.0420905453729583,0.0394731524208573,0.0484878833499109,0.0354083736929496,0.0403389183804935,0.0410019547630228,-0.00898163853360795,0.00763980139061512,0.0023762363766663,-0.00303714797360424,0.0032449964857355,-0.000367608560791799,-0.00364671065758033,0.000944527015164429,0.00332737074241278,0.000993887014325265,-2.11189882538904e-05,0.00300189092011323,0.00126274060401003,-0.00207973731634898,-0.000869229090246401,0.00403506634763553,-0.00603778696656778,0.00320403217438686,0.00305992164508616,-0.00475155537689896
"SPEECH_446","1996-10-16","1996-10-01",39.25,0.0576702506768207,0.0416801134089782,0.0363226485367359,0.0486653115031148,0.0612976383970864,0.0403293988533805,0.0422637853989901,0.0831045520213671,0.0480901637309456,0.0554499570213229,0.0517102183416564,0.0567242699759944,0.0350631868615352,0.0475720087058758,0.0367719982080148,0.0454543846976598,0.0695288409258664,0.0397006804161345,0.0644955229946101,0.0381050693239107,0.0062975667350316,0.00798815006270753,0.00960743991354667,0.0100949087028933,0.0123128348010799,0.00924477338151038,0.00526607776388836,0.00633149464581609,0.00962342757451217,0.0132035058825325,0.0225488964790684,0.014356789308271,0.00685763962216832,0.0038246269089667,0.00849886595855029,0.0117628000540852,0.0207362016452898,0.00780365305313502,0.0161633023483878,0.00661809108448545
