"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","pre_meet_T24","pre_meet_T25","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","post_meet_T24","post_meet_T25","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","pre_pub_T24","pre_pub_T25","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23","post_pub_T24","post_pub_T25"
"FEDm_1",0.035124414797051,0.0237189703971968,0.0507242895281371,0.0461764999343962,0.0425307176994405,0.0238587652104339,0.0231233360136985,0.0221383000716467,0.040046499525863,0.0559686274991565,0.0310734772767923,0.0290096099753477,0.050896168228058,0.0584759045407506,0.0434728973167331,0.0272430581680462,0.0308946516948214,0.0577252197333902,0.0484557485239727,0.0408997756101552,0.05165126834454,0.0372491543710444,0.0383180460947828,0.0571101543435879,0.0341144451009572,0.0328050002964673,0.0225547050835916,0.0591742539376965,0.035516509660632,0.0476700456943684,0.0296014942045538,0.0216532514882259,0.0199207675285867,0.0452509289609293,0.0515214763048927,0.0374651673537521,0.0229640155826767,0.0566362691221733,0.0599640142920247,0.0426566906766938,0.0287096969997172,0.0354034819474195,0.0475966911366076,0.0421748829544092,0.0421155754822276,0.0566862310063643,0.0333954134240409,0.0472820972215624,0.0480156243226432,0.0332657153177433,0.0281510853860337,0.0203114900032755,0.0522694247932481,0.0355241983717133,0.032502059364234,0.0260088830334552,0.0194320379070037,0.0220436361799651,0.0399128015216754,0.0442533509811614,0.0269423870480031,0.0190242295707703,0.0575372950093628,0.0594960356194998,0.0516149016941706,0.0311107618610021,0.0335770919454746,0.0713550169641988,0.0366031527039939,0.0339576061291683,0.0946512642925798,0.0384283032159112,0.0476411110598127,0.0426525888837315,0.0349992864605548,0.0305629306737851,0.0221829419324215,0.0442259952216775,0.0298402481200753,0.0456600673348454,0.0347167397931809,0.0215610079524146,0.022198572458162,0.0458970660942798,0.0574678805432687,0.025855084227972,0.0255188587521635,0.0582911039685772,0.0684537706764526,0.0524229344891768,0.0315981286624189,0.0349046450351716,0.0453844670942371,0.0342928168729835,0.0351526217802988,0.0768361606357268,0.0291775574185669,0.0463912652016268,0.0460490158744906,0.035358119186026
"FEDm_2",0.0259532330954626,0.0193290190948805,0.0526470477753527,0.0348450303427454,0.0388552750810693,0.0298247328015932,0.0214046682361446,0.0272268883043271,0.0440803302344924,0.0463326066098629,0.0326374902776267,0.0199476355070119,0.0612465886649199,0.0575082335491682,0.0483233349855393,0.028446285507111,0.0400078516395803,0.0584066557367241,0.0365949769066053,0.0258694790609041,0.0848631147993254,0.0371671972302511,0.0506905496529072,0.0426941378268752,0.0350976370795198,0.028090935169481,0.0235333788265696,0.0424415876083974,0.031622302578482,0.0386466139775866,0.0300583059408787,0.0217160108368906,0.0242781013841178,0.0431008832845478,0.0545190746654533,0.0253379745793164,0.0239840335282084,0.0567084317154879,0.0668100824212506,0.0485012464941126,0.0398414285448451,0.0336815252887067,0.0535054649001568,0.0389134425158723,0.0415805804392193,0.0847873522523854,0.0276905806543044,0.0457745423981833,0.0387957662794759,0.0360803537160701,0.0354237822221619,0.0204699140154035,0.056459141077516,0.0396868869541428,0.0488583371265918,0.0369548995991475,0.0194545828316683,0.0273461010921217,0.0442736024058699,0.0373199622388781,0.0338079080960183,0.0174893940125595,0.0567606698966887,0.0619154325832636,0.0579464429598817,0.032906098141511,0.0318277928456866,0.0504282075855925,0.0341621741560607,0.0394106403484408,0.0586122031432952,0.0372247111102363,0.045948292295963,0.0388046940976774,0.0365081291636234,0.032950555493572,0.0222963773817374,0.0575187442566618,0.0341597113670656,0.0514102774512227,0.0280626172652634,0.0181866784562939,0.0248530842218947,0.0333963197869019,0.0465666477429889,0.0325087872632908,0.0271955509202218,0.0435400355419993,0.0624586923271214,0.0451419658111317,0.0280611322180184,0.0387743785178791,0.0624722788007494,0.0351433277294871,0.0402669902440819,0.0580348771763701,0.0372890299293061,0.0473616806660232,0.0471925484115821,0.0451577110191354
"FEDm_3",0.0336079141280432,0.0214670145033941,0.0587396022790993,0.0346104281747342,0.0529078278193766,0.0359042548926173,0.0185982983868541,0.0309014485037455,0.0497271819343102,0.0430074652815312,0.0365847748855392,0.0195851643739607,0.0653835659640749,0.0548680634503225,0.0518524292268943,0.0294684503463946,0.0286393765333865,0.0570998280144773,0.0327908346413877,0.0285933750766514,0.0539689120515915,0.0399301292076687,0.0492537210976239,0.043299509982746,0.0292104292435752,0.0312685908968849,0.0218160502367581,0.0498074402819469,0.0442069275040006,0.0474224102945009,0.0345660201378273,0.0208007325206421,0.0260911942159356,0.0425321054587349,0.0416845115940792,0.0361531828281613,0.0201523677151746,0.0456456273081379,0.0648002534733437,0.0471442643076971,0.0299255880835136,0.042189834335101,0.0470529442201001,0.0357026910749168,0.0382595366341859,0.058874976431557,0.0334528771001438,0.0505302734924822,0.0431650730532988,0.0467545268008757,0.036348376500556,0.0229262175206522,0.0491793956112977,0.0394823652537477,0.0465249357690483,0.0271605391625868,0.0214841414885929,0.0245379900486692,0.0314659468707363,0.0420204370220227,0.0414015432774654,0.0164297583252332,0.0674446401507412,0.0675869731130732,0.0572758878388918,0.0189925690823572,0.0579030789233932,0.0400582203344819,0.0382979696958144,0.0529442198857003,0.071079042723904,0.0345278753538859,0.033050826921882,0.0319512542275762,0.0299257948976902,0.036294122284372,0.0230304563756969,0.0539465857730237,0.0382006838620146,0.0427858593578573,0.0318321044849212,0.0198210889244193,0.029515287787663,0.0373950768376726,0.0479569003573392,0.0320448881309411,0.0207173786323935,0.0592922341902485,0.0528304329699823,0.0483128517935129,0.021638536996651,0.0562254494997725,0.0575718154184404,0.0407616524724435,0.0408436701655118,0.0649451462663616,0.0353983375178705,0.0308656770446734,0.041156033134788,0.0366177297214292
"FEDm_4",0.031816635699359,0.0229359085610206,0.0415224757389243,0.0426050019212627,0.0483657852761664,0.024799928864922,0.0209096851992375,0.0206029791499168,0.0325837653524085,0.046950442959302,0.0403438743905664,0.0196484104975194,0.0604044705384192,0.0689347527075361,0.0506981871678437,0.0229331838228379,0.0644235549632883,0.0383719484249672,0.0376594917462023,0.047122310046247,0.0849562396304706,0.0341115762571368,0.0333304229136407,0.0364714825760628,0.0274974855947415,0.0335413970975253,0.0226098685933982,0.0449584104512014,0.0377805486209886,0.0450819154126601,0.0315920489954121,0.0196909173629875,0.0244216677114582,0.0396392903271621,0.0475106677353809,0.0324034308573308,0.0216842392691946,0.061005003966599,0.058304305892939,0.0538856509560016,0.0234073892285981,0.0558905384852757,0.0543279909583377,0.0349970469182234,0.0421939394628255,0.0629336701298362,0.038579940029269,0.0312047871322726,0.0452852032638435,0.0370701311412788,0.034894822293655,0.0212496937192615,0.0589929013461299,0.032411038363667,0.0495095858779308,0.0468785553387698,0.0191668869262364,0.0286042819719276,0.0341154144790925,0.0436544638635979,0.0258053617398351,0.0237893625172757,0.0523354844284338,0.0534677672839541,0.0783660300086844,0.0240545549101081,0.0437282366143933,0.0584256951480331,0.0402516941274852,0.0403744512443764,0.0458165227033593,0.0326234044998918,0.036719905837533,0.0372866265090472,0.037477258247321,0.0427290450476386,0.0271543909859888,0.0497552856087791,0.0250801327641478,0.0452644125598906,0.0325061492665073,0.0209477568504279,0.020011749122998,0.0351953238291711,0.0375573976306548,0.0378615069697979,0.0205657617740867,0.0534871427095643,0.0478102584234325,0.040820665536774,0.0285250631362843,0.0452177525576157,0.0646459356639792,0.046091345823525,0.0395103663167053,0.0794916412365172,0.0280768178408157,0.0411741512375228,0.0461306876361737,0.0443892594710014
"FEDm_5",0.0284902852103475,0.0216193079388707,0.0517829023021154,0.0331017577373191,0.0465012318205504,0.0456817540117172,0.0213415306678424,0.0272847036609646,0.0443032993581724,0.0449961219857744,0.0289582988000998,0.021484418878423,0.0508909104490827,0.045625269102028,0.0743998142570276,0.02881008433165,0.0306338690207315,0.0526127733077514,0.0395750896649349,0.0450092251027747,0.0543985600606078,0.0371560773738672,0.0453383987854453,0.0384894434776665,0.0415148726942357,0.0389198718601119,0.0283344420936055,0.0602437507297655,0.0343219720928901,0.0412095334440495,0.03233068874727,0.0210901954687638,0.0222133825864344,0.0276234631810138,0.0482705809108125,0.0339785147225863,0.0212164452149324,0.0448339037635621,0.047485361235669,0.0465722309357625,0.0313173859979678,0.048525564760553,0.0572206796343483,0.040690270859437,0.052330078524987,0.0789973399138561,0.0340929239355162,0.0375156058170628,0.0377970265790032,0.0328687869900393,0.0253838439162888,0.0222584346224226,0.0302364636751936,0.0336089077075287,0.0570326128665881,0.0451973560382707,0.0195708236643943,0.0226574488837074,0.0498000873611043,0.0379059187037193,0.0315067447022661,0.0188209606517869,0.0570123111414354,0.0652958525071799,0.0573156639113499,0.0282381639074483,0.0384191228243236,0.0458721289446022,0.0378297372203137,0.0325338495328858,0.0916270443863685,0.0277540541493008,0.0478839531395147,0.0425243570366981,0.0337141585053084,0.0437548621803548,0.0249529709496474,0.0563854685217468,0.0329273426345536,0.0437207771358954,0.0253223853276204,0.0211475739079619,0.0274124278359634,0.0363718255784761,0.0523663877321295,0.0332034121234897,0.0303274842067018,0.0487881371557037,0.0514863174274997,0.0537048827018118,0.0275415936979004,0.0526939402869059,0.05440911246945,0.0325920367034485,0.0261816202747087,0.0530665640121076,0.0446054691910344,0.0424142979130908,0.0467034875008271,0.0379196225309707
"FEDm_6",0.0278662091099273,0.0216185328306332,0.0465263722084744,0.0282835409815576,0.0605179910388899,0.0416936741582751,0.018633185425456,0.0285294248998931,0.0441079710404986,0.0654335429324059,0.0287005819378543,0.0213220459736806,0.0521026551736056,0.0587978002602965,0.0584597681475257,0.0329968301312897,0.0383445251501236,0.0486587239572946,0.0398471680907516,0.0328698806468884,0.0637365311230912,0.0270518317286868,0.0410572555602336,0.0384260169676282,0.0344179405250386,0.0373937352132033,0.0254005155571377,0.0359508630833976,0.0326810554622625,0.0501212831120696,0.0291077579107581,0.0214990757471305,0.0205204555030614,0.0451255054390243,0.0433683634986256,0.0317924936490914,0.0219535284019132,0.0543292928444756,0.0685673057188529,0.0586212932913836,0.0286423515800094,0.0465089016861023,0.037954926309422,0.034505335460033,0.0249760930161899,0.0813330401374803,0.0416369057719083,0.0490775139496211,0.0404813610717511,0.0384510465850953,0.0342101409767349,0.0254804572569379,0.0448784638058273,0.0266150660007036,0.0432216834948329,0.0356763218320396,0.0196759415497125,0.0189337354285653,0.0317179578606959,0.0426653010837255,0.0388402649393821,0.0205208932305248,0.0568712603200455,0.0602745554044373,0.0455819984618252,0.0219601197113518,0.0710641141687023,0.0451895184742031,0.0331032784704389,0.0297990015625301,0.0519583714123211,0.0337187609592282,0.0718324269516204,0.0477078931130129,0.048502473530601,0.0298562895668587,0.0237262745005209,0.057345780583974,0.0337301194182759,0.0426578256559135,0.036422314026842,0.0189865404971837,0.0252459870322661,0.0263476794051622,0.047254146093686,0.0389385189326629,0.0217896962489738,0.0528647644798755,0.0555517119318919,0.0415054458112683,0.0259219046024564,0.0754612187346871,0.0486256685042976,0.0374791681961381,0.0393506814984917,0.0736731611539214,0.0284223430209891,0.0355241870236145,0.0497359605699257,0.0335826125101231
"FEDm_7",0.0367886193503504,0.0226000306366372,0.0581411901117949,0.0268705492891628,0.0371610766552586,0.0336017233262517,0.0201611735595469,0.0278709947477141,0.0275187585751135,0.0461161064615703,0.0400317913041484,0.0199732951752293,0.0605773805450576,0.0424569577455498,0.0451457696018639,0.0220502605722839,0.0655091312649772,0.0457539291462235,0.0318106545076249,0.0336996092551408,0.0532849866863038,0.0390443767841608,0.0741647010826202,0.0507894693305199,0.0388774642848956,0.0298773757073231,0.0238291354736572,0.0443549111294304,0.0279538897017184,0.0406709581045076,0.03916596544794,0.0183261831315302,0.0216083390768936,0.0217338385792381,0.0403476422353971,0.0403970083882344,0.0169632276665911,0.0520635992680142,0.0733727488139886,0.0504929788255148,0.0202415490182127,0.0982067076002141,0.0464404390363229,0.0319182633371095,0.0422950083765148,0.0752780406957815,0.0272216912031379,0.0311243179561404,0.0453522353400127,0.0407639458865747,0.03179233173399,0.0216957203770371,0.0489903171502925,0.0304171820350874,0.048877357355801,0.0340619764527256,0.0189245480779843,0.0218349810967162,0.0374878806542167,0.0391635397693857,0.0287594207224712,0.0181873067775626,0.058287079548205,0.0569143914285499,0.0614320048150524,0.0327050484696439,0.0410014712413823,0.0511713585976951,0.0345893087323453,0.0322325045824941,0.0961983287306406,0.0342214920644525,0.0395347155813749,0.0453341474883097,0.036185586516584,0.0335887133540265,0.0189037046188327,0.0595875545757274,0.031839299796241,0.0413452871073862,0.0404407812997097,0.0215456751516681,0.0267746843335227,0.0426646250219095,0.0593922598124223,0.0332612509271738,0.0256527658577449,0.0557195536362408,0.0331242774976091,0.0584959551924438,0.0271959981664681,0.0480930504571465,0.0433611394064086,0.0351381948126174,0.0334079092111739,0.0543210415506043,0.0363803277970902,0.0485521710696154,0.0519811327066327,0.0392326466395847
"FEDm_8",0.0334330626023401,0.0216168417699757,0.0479062800768679,0.0289757937909399,0.0485135194900543,0.0343671486639204,0.0197787213992947,0.0227335819280547,0.0343097486337319,0.050883676795648,0.0278625441127554,0.0206105634924197,0.059700156519156,0.0610065313268785,0.0530884477332855,0.0327734387389824,0.0520530348674678,0.0457152156862891,0.0346052128551907,0.0313073601872981,0.0869197748933633,0.033022247228476,0.0373805717039109,0.0489753154628411,0.0324612100408582,0.0317794896855152,0.0206885156568906,0.0570746572766876,0.0307283591325186,0.0466082012789444,0.0399605173734736,0.0197302928483453,0.0257268749628655,0.0414217556306896,0.0456160317863379,0.0334905021017413,0.0241613829552273,0.0600671195882067,0.0490990829965235,0.0568840030721214,0.025539070118829,0.0383514505954072,0.0393893798169058,0.0311255019920194,0.0326754333885383,0.0800487739033868,0.0332300637362638,0.0487949427051466,0.0478965681378018,0.0399120292596126,0.0304902872326224,0.0239054198030961,0.0499119084022076,0.0307571117183213,0.0477551374593638,0.0367850222409959,0.0211068726727157,0.0274888363455059,0.0367713526942612,0.0493712905844984,0.027041378858781,0.0244995420223779,0.0508071367194146,0.0693331765675977,0.0507955722483091,0.0236394217550908,0.0398308261596405,0.0541811139647576,0.037370789989754,0.0364561133038887,0.084691107141025,0.030037377891743,0.0430893552789462,0.0435778074889561,0.0303060414561292,0.0264320975778444,0.0200465957773668,0.0524816409474636,0.0311024605088678,0.0385907558415351,0.0418518081229749,0.0191979140345665,0.0286766822712985,0.0466357302447403,0.047428818779845,0.0300150461077417,0.0214691308501789,0.057275227796745,0.0549660015766112,0.0535780894511948,0.0277350884997835,0.0372654326454066,0.0685850653212979,0.0398848115021533,0.0359433176629526,0.0612310536822052,0.0429453299316273,0.0368136128567153,0.0453985789686553,0.0344497090402287
"FEDm_9",0.0304902872326224,0.0239054198030961,0.0499119084022076,0.0307571117183213,0.0477551374593638,0.0367850222409959,0.0211068726727157,0.0274888363455059,0.0367713526942612,0.0493712905844984,0.027041378858781,0.0244995420223779,0.0508071367194146,0.0693331765675977,0.0507955722483091,0.0236394217550908,0.0398308261596405,0.0541811139647576,0.037370789989754,0.0364561133038887,0.084691107141025,0.030037377891743,0.0430893552789462,0.0435778074889561,0.0303060414561292,0.0264320975778444,0.0200465957773668,0.0524816409474636,0.0311024605088678,0.0385907558415351,0.0418518081229749,0.0191979140345665,0.0286766822712985,0.0466357302447403,0.047428818779845,0.0300150461077417,0.0214691308501789,0.057275227796745,0.0549660015766112,0.0535780894511948,0.0277350884997835,0.0372654326454066,0.0685850653212979,0.0398848115021533,0.0359433176629526,0.0612310536822052,0.0429453299316273,0.0368136128567153,0.0453985789686553,0.0344497090402287,0.0335313671297236,0.0199324950036694,0.0628148565729384,0.0271701823775909,0.0365861498819728,0.0254609391060234,0.0185122556104778,0.0278161629740607,0.024999553886607,0.043167660602191,0.0242121224185652,0.0195720169178233,0.0531742829428086,0.0498164478369447,0.0480003548868798,0.0289717312473207,0.0354646964051303,0.097239129758488,0.0385340343011467,0.039207619214124,0.0578465929595283,0.0509605278436672,0.0364867253451112,0.0564249901029024,0.0440971046743048,0.0378216233614431,0.0215100151389737,0.0607043874049949,0.0238458238029538,0.0481510956630047,0.0289474292416118,0.0240261611484452,0.0263136147360514,0.0294705305607964,0.0536544499633557,0.0346918008156072,0.0219049683157367,0.0570849223872318,0.0588615156472181,0.04991880346003,0.0264735256597809,0.0380120750602342,0.0546474681459678,0.0403813124058176,0.0383076132417793,0.0599210445300911,0.0461613873121541,0.034919635939368,0.0412115167383484,0.0430572793190041
"FEDm_10",0.0390526004240241,0.0199339960786002,0.0697733189849116,0.0308424480174226,0.0430991771610462,0.0242372427425195,0.0197181138405879,0.0273886032551823,0.0444438659630893,0.0487802436549836,0.0330199800294097,0.0177432386887514,0.0657737066038223,0.051673278793123,0.0382468430420735,0.0219901646865804,0.035644396048643,0.0558902046794253,0.0347933435324689,0.0334054243453043,0.0651299405495196,0.0467284366016641,0.0358391258100832,0.0474868085224358,0.0493654979443282,0.0323728200072841,0.0228963121839281,0.0543631914799408,0.0257554166948123,0.0411965608917481,0.0261361316193779,0.0205854741743975,0.0270345120656875,0.0293806723186561,0.0528012357801924,0.0276568193743438,0.0231265428006039,0.0587114059952904,0.0580889924219289,0.0584235605109441,0.0275219959433578,0.0336600148522792,0.0787937252323822,0.0434141878763585,0.0371796885000811,0.0613393354701549,0.0400885567565196,0.0359556843357271,0.0451641184505585,0.0383530442634452,0.0378521927503262,0.0238740235738226,0.0639030803050312,0.0320359532751652,0.0399282636630193,0.0331037144096315,0.0191009288505145,0.0349926214319086,0.0253146248963491,0.0566435386373298,0.0212323732293539,0.0242220161223217,0.0433928457151228,0.0371648142360763,0.0586465878594531,0.0271281152728129,0.0337568168762222,0.0827594028795678,0.0432338374165023,0.0384528352358343,0.0529522113534156,0.0478813531054946,0.0430364362384146,0.0430682334555709,0.0363231792107392,0.0411146448168558,0.0208691458032578,0.0501358901602862,0.0218065529184326,0.0529332823655553,0.0376728331009796,0.0206855717529112,0.0278230757457509,0.0284364030024146,0.0471289399745144,0.0229779691303141,0.0229838887230622,0.0591455510399199,0.0456479193398225,0.0675505748326579,0.0266305653664676,0.0365624784861775,0.0623668802031645,0.0379019878070988,0.0442543656922385,0.049059978545984,0.0501262960723629,0.0398527884520645,0.0469626940410377,0.039369722626669
