"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","compani, billion, million, year, share, execut, profit, busi, corpor, analyst, oper, earn",0.0215,0.0282,0.0408
"Topic 2"," ","fed, interest, economi, feder, reserv, rais, term, inflat, polici, expect, point, short",0.0273,0.0371,0.0376
"Topic 3"," ","stock, percent, index, point, fell, rose, gain, investor, share, close, week, earn",0.0264,0.0256,0.0493
"Topic 4"," ","trade, dollar, unit, japan, foreign, american, export, currenc, import, state, japanes, valu",0.0322,0.0306,0.0306
"Topic 5"," ","inflat, expect, particip, term, continu, remain, period, longer, project, outlook, run, staff",0.0905,0.0387,0.0164
"Topic 6"," ","state, new, offici, law, rule, plan, deal, group, use, regul, case, agenc",0.0221,0.0514,0.0443
"Topic 7"," ","price, oil, energi, increas, inflat, consum, month, year, rise, cost, produc, higher",0.0493,0.0315,0.0262
"Topic 8"," ","bank, loan, credit, mortgag, financi, borrow, interest, home, lend, debt, lender, payment",0.0346,0.0515,0.0338
"Topic 9"," ","polici, member, meet, committe, monetari, risk, financi, period, discuss, growth, direct, view",0.0677,0.0476,0.0194
"Topic 10"," ","tax, cut, budget, state, year, spend, plan, billion, govern, propos, deficit, fiscal",0.0225,0.03,0.0414
"Topic 11"," ","percent, year, report, month, last, week, sinc, show, increas, sale, depart, averag",0.0271,0.0264,0.048
"Topic 12"," ","growth, quarter, spend, consum, economi, slow, pace, continu, incom, household, first, real",0.0615,0.0332,0.0257
"Topic 13"," ","citi, new, hous, build, develop, york, home, project, properti, area, million, plan",0.0228,0.0304,0.0434
"Topic 14"," ","year, economi, last, recess, still, sinc, time, now, even, fall, mani, back",0.0246,0.0313,0.0416
"Topic 15"," ","school, incom, health, peopl, care, year, educ, famili, program, univers, student, american",0.0219,0.0366,0.0402
"Topic 16"," ","govern, polit, nation, countri, minist, russia, war, power, state, offici, militari, leader",0.0203,0.0316,0.0448
"Topic 17"," ","sale, quarter, declin, inventori, product, increas, manufactur, month, good, busi, order, equip",0.0736,0.0301,0.022
"Topic 18"," ","peopl, one, time, day, work, say, like, get, just, want, now, call",0.0204,0.0311,0.0502
"Topic 19"," ","committe, feder, rang, fund, purchas, secur, condit, financi, agenc, stabil, target, direct",0.0688,0.044,0.0182
"Topic 20"," ","busi, compani, industri, new, like, store, product, car, technolog, retail, custom, make",0.0224,0.0358,0.0375
"Topic 21"," ","bank, european, europ, euro, countri, central, govern, union, germani, german, crisi, debt",0.0228,0.0346,0.0387
"Topic 22"," ","busi, continu, relat, recent, activ, effect, demand, like, member, report, factor, sever",0.0661,0.046,0.0215
"Topic 23"," ","china, world, state, countri, unit, global, chines, south, develop, nation, year, govern",0.0218,0.0314,0.0369
"Topic 24"," ","bond, treasuri, secur, yield, million, year, note, debt, issu, week, percent, price",0.0309,0.0279,0.0305
"Topic 25"," ","way, one, make, get, even, like, now, much, just, think, need, thing",0.0212,0.0512,0.0497
"Topic 26"," ","presid, elect, vote, polit, administr, hous, support, white, polici, issu, new, congress",0.0211,0.0318,0.0456
"Topic 27"," ","fund, invest, investor, money, manag, capit, financi, stock, asset, return, firm, percent",0.0264,0.0438,0.0344
"Topic 28"," ","job, worker, unemploy, labor, employ, work, wage, benefit, month, hire, year, employe",0.0323,0.0308,0.0314
