"Topic","Description","Top.5.Words","mins","speech","nyt"
"Topic 1"," ","job, worker, work, year, peopl, employ, school, labor, unemploy, incom, american, wage",0.0364,0.0485,0.0522
"Topic 2"," ","committe, polici, feder, condit, inflat, meet, monetari, reserv, expect, period, direct, financi",0.1192,0.0679,0.0266
"Topic 3"," ","stock, percent, point, index, rose, fell, share, investor, gain, earn, quarter, close",0.0372,0.0366,0.0629
"Topic 4"," ","economi, fed, growth, interest, rais, cut, feder, recess, polici, reserv, year, time",0.0395,0.0531,0.0555
"Topic 5"," ","price, inflat, increas, energi, consum, month, rise, oil, measur, expect, higher, cost",0.0808,0.0471,0.0334
"Topic 6"," ","hous, home, year, real, new, estat, famili, start, two, sale, month, apart",0.0403,0.0397,0.0413
"Topic 7"," ","tax, state, budget, cut, year, spend, plan, billion, health, govern, program, propos",0.0314,0.0434,0.0556
"Topic 8"," ","peopl, one, like, get, now, just, say, time, even, make, think, thing",0.0287,0.0551,0.0754
"Topic 9"," ","particip, growth, continu, member, remain, recent, risk, activ, expect, outlook, effect, howev",0.1198,0.0642,0.0265
"Topic 10"," ","quarter, spend, consum, product, busi, growth, declin, increas, sector, continu, pace, manufactur",0.1109,0.0449,0.0327
"Topic 11"," ","citi, new, develop, build, york, plan, project, center, offic, million, area, communiti",0.0307,0.044,0.0554
"Topic 12"," ","new, deal, group, rule, law, state, use, case, agenc, offici, issu, board",0.0324,0.0731,0.0563
"Topic 13"," ","bank, loan, financi, credit, mortgag, borrow, interest, debt, money, lend, payment, lender",0.0448,0.0736,0.045
"Topic 14"," ","presid, polit, elect, vote, administr, support, leader, offici, govern, white, week, polici",0.0297,0.0446,0.0648
"Topic 15"," ","fund, bond, secur, investor, invest, treasuri, million, yield, year, manag, term, interest",0.0459,0.0477,0.0434
"Topic 16"," ","trade, china, dollar, unit, foreign, state, american, japan, export, import, economi, countri",0.0403,0.0423,0.0469
"Topic 17"," ","govern, countri, world, nation, state, unit, american, russia, power, war, year, militari",0.0304,0.0475,0.0566
"Topic 18"," ","bank, european, countri, central, govern, europ, euro, union, germani, crisi, german, debt",0.0324,0.046,0.0497
"Topic 19"," ","compani, busi, year, industri, million, execut, billion, profit, last, share, oper, corpor",0.0307,0.0435,0.0581
"Topic 20"," ","percent, year, month, report, last, week, increas, show, sinc, first, depart, expect",0.0386,0.0371,0.0616
