"meeting_id","meet_date","pub_date","quarter","wordcount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T1_sent","T2_sent","T3_sent","T4_sent","T5_sent","T6_sent","T7_sent","T8_sent","T9_sent","T10_sent","T11_sent","T12_sent","T13_sent","T14_sent","T15_sent","T16_sent","T17_sent","T18_sent","T19_sent","T20_sent","T21_sent","T22_sent","T23_sent","T24_sent","T25_sent","T26_sent","T27_sent"
"FEDm_1","1993-02-03","1993-03-26","1993-01-01",81.5625,0.0219465114972854,0.102016424102587,0.0259243757293373,0.0468719692170259,0.0997458019600943,0.0227946596898269,0.0321506392395813,0.0213813119997627,0.0255882680140607,0.023431306494857,0.0330662452688349,0.0219384076325708,0.0268270361257573,0.0238226611540465,0.0319763093065941,0.0207006960966697,0.119248484244986,0.0192279655337106,0.0244412681553274,0.0305912507757389,0.0221794726446613,0.0210528456978881,0.0258987920413533,0.0423420591007461,0.0602121701283924,0.0255030752317532,0.0291199929165508,0.00308420586401733,0.00665068895760962,0.00424677143830065,0.0166186962251678,0.0418565975258082,0.00368939823819647,-0.00266747101316211,0.00271664816754284,-0.00356296176052974,0.00197793253312061,0.00289546739594248,0.00237798724085757,0.0094666520389224,0.00347062944036611,-0.00488978493693888,0.00329121560081439,0.0486289543022427,0.00300874421295149,-0.00104532155576385,-0.0011819164763843,0.00402627226978189,0.00167639449534053,0.000824854224985464,-0.00848839720496039,-0.00970815918421001,0.00650118240871137,0.00625010487949686
"FEDm_2","1993-03-23","1993-05-21","1993-01-01",83.1142857142857,0.0212415128935745,0.117487558914574,0.0278490664389595,0.0531825476334171,0.110860829990625,0.0222492072947995,0.0379665636494816,0.0213193179116685,0.0267911258633964,0.022266773745721,0.0251155880779052,0.0216178743661188,0.0339322740387108,0.0193553082874099,0.0278921657214929,0.0220360683726166,0.101925062725505,0.019225837726104,0.0224140553682577,0.0282440268768188,0.0212537235415701,0.0213338833192152,0.0261741563941501,0.0463113796625807,0.0416862226150044,0.0271982626698275,0.0330696059004956,0.00183376261403004,-0.0116171775895717,0.00611969986333171,0.0218082629543704,0.0509492783211583,0.00345530056366631,-0.000316794736875684,0.00223169428785268,-0.00152054941157812,0.00401387267795197,0.0053188364931746,0.00428830549617797,0.0142217961107215,0.00420765824796184,-0.00106717916721779,0.00197127442601927,0.0314459895346886,0.00360166616107953,-0.000196918263702388,0.000743508742006356,0.0036793978914215,0.00206141763228762,0.0026340291349851,-0.0139846561092748,-0.00129952380146513,0.00707035273349034,0.0074982613068922
"FEDm_3","1993-05-18","1993-07-09","1993-04-01",73.8823529411765,0.0208721750341067,0.0988610666992322,0.027970146028199,0.0480727616876818,0.113977116577347,0.0212737243211836,0.0377838887369357,0.0213240663465161,0.0240655703089744,0.0213457154862708,0.0285206177122694,0.0254908770328026,0.0267003682844466,0.0238076888598284,0.0249809853259142,0.0189629635868758,0.114654304843471,0.0215737527895259,0.0218657124632434,0.02298798815862,0.0233005163735208,0.0224026999291504,0.0275796646222623,0.0447393758081898,0.0566594490896407,0.0271876284089117,0.0330391754848801,0.00160679705369495,-0.0256029512211158,0.00188725574498839,0.00191014515409218,0.0593239827779738,6.09741019605956e-06,-0.00587448040913839,0.00261754912446276,-0.00185125083497688,0.00231291201856978,0.00243316821363186,0.00717794004919183,0.00631550133452717,0.0025436436136342,-0.000720091400669481,0.00186366484256994,0.0403602216675565,0.000512120763392823,0.000794663726377692,0.00129572468810753,0.00460962636831744,0.000211120916750879,-0.00220683392611907,-0.0170390727275577,-0.0115565946087824,0.00226820147990983,0.00546189738992496
"FEDm_4","1993-07-07","1993-08-20","1993-07-01",77.9705882352941,0.0201745728310561,0.105656058378986,0.0249000227843055,0.0479314664815049,0.109566695326447,0.0209561545129723,0.0376695053322013,0.023119114077467,0.0261330388858941,0.0216301550853134,0.0345576687606732,0.0225597070055347,0.027309412603437,0.0218229366385378,0.0295715164326632,0.0217082053384121,0.117470551085617,0.0180344381931812,0.0226358707204319,0.0263570848240022,0.0212598916810376,0.019285698354051,0.0249366208059572,0.0391436482412321,0.0637601847709103,0.0249869973693515,0.0268627834788222,0.00500927784390085,0.0197464148590821,0.00215807278968503,0.0132079010074249,0.0528257095403314,0.00574853087766821,-0.00048255304365906,0.00330823487282649,0.00136982874557282,0.00486443574107787,0.0059187524520117,0.00618190051962608,0.0107937107484428,0.00441302124143255,0.00455128519436785,0.0051610909105624,0.0312066167919095,0.00317528134115008,0.003159123381647,0.00623131928067123,0.00529885951626857,0.000421497980645268,0.00404877096058553,-0.000680483044398816,-0.00437903603603188,0.00276347003866847,0.00707990294510351
"FEDm_5","1993-08-17","1993-09-24","1993-07-01",74.6451612903226,0.0196895987398105,0.0938706165860147,0.0299999799743881,0.0525172794582302,0.113696714522263,0.0206475999591297,0.0310593587394427,0.0213644165618282,0.029017471960375,0.0221719966669696,0.029830673551019,0.025508625797839,0.0309176876161257,0.0205949061488556,0.025565340303594,0.0226317532657788,0.108695969364494,0.0231454978140698,0.0215985739046645,0.025374452359205,0.0204564897100411,0.0249847928045502,0.0252304197017958,0.0481251045093923,0.053762903966193,0.0291642549186497,0.0303775210952812,0.00434910362872572,0.00582501797556267,0.00363563981790636,0.0088530223149757,0.0663164216099156,0.00608186705845514,0.00573210124885301,0.00476810672716769,0.00286131991907459,0.00608187049645715,0.00279779342754176,0.00755314317411997,0.019357989324135,0.00478114888352421,0.00528713875712356,0.00437925171143418,0.030028217607242,0.00290908638740969,0.00539345366676401,0.00804511168918227,0.00815375254437234,0.00171590285222972,0.00464528926374154,-0.00436742885983725,0.00993764094691391,0.00702381362489306,0.000983552674348194
"FEDm_6","1993-09-21","1993-11-19","1993-07-01",72.6363636363636,0.0222497652912951,0.107995549825631,0.0278347378771035,0.0515930646589505,0.09811894015103,0.0260641888346102,0.0325029560565152,0.0231266335683185,0.0282831705142766,0.0216200263243711,0.0270880124686881,0.0219634135486542,0.0322522958664904,0.0228563402245902,0.0300286244892613,0.021150111827761,0.112544476352565,0.0196644966581924,0.0237415942028507,0.0249173508728363,0.0235301761672854,0.022107522158382,0.0249685858404727,0.0380224061949173,0.0563739980460302,0.0238434652634604,0.0355580967154613,0.0019372326589359,-0.00220710636424243,0.00415277178869737,0.0113604848833376,0.0568889168177551,-0.0026386002754283,-0.00116459698701696,0.00306819581576329,0.00161976550767552,0.00273923852387278,0.00244437115964641,0.00470454528955071,0.00601559074019375,0.00398640767833042,0.00607206888100549,-0.000227061265903598,0.017871528432772,0.00227060338447979,0.00342355242494437,0.00514674528750957,0.00231296207122756,-0.00190212714912379,0.000200194189528514,-0.0106527119695966,-0.00595739152437886,0.00306437701122921,-0.0011272634230191
"FEDm_7","1993-11-16","1993-12-23","1993-10-01",74.6875,0.0206227283003268,0.0985173025364827,0.02516855053532,0.0506957892915826,0.104191600798775,0.0234729118579509,0.0376273657310494,0.0216683074439392,0.0250791459907871,0.0230835622741727,0.0318339211604573,0.0253086726817054,0.0305267791749083,0.0205282963046782,0.0230216249749557,0.0245168014365634,0.110565687132909,0.0212651533510933,0.0214474555920701,0.0261961819687814,0.0212519753498245,0.0237315425483034,0.0293707638877661,0.0416065882893507,0.0552545444231775,0.0300800255344077,0.0333667214286613,0.0120024029769183,0.0374208393311516,0.0122699896206506,0.039289374530776,0.0775129190487542,0.0141545541976865,0.0216021273568248,0.0126332118672576,0.0150264624003159,0.0145155400410524,0.0161456999586764,0.0181746950916016,0.023537354743555,0.0142785977023125,0.0114826997329054,0.0117560928718772,0.0690028013069318,0.0121578239398695,0.0100828281382388,0.0166960679199693,0.012424804303892,0.0137821399546665,0.0182753200210582,0.00960977409422632,0.036325855678996,0.023476336316402,0.0174642563836815
"FEDm_8","1993-12-21","1994-02-04","1993-10-01",72.2972972972973,0.0200033505810098,0.110443149761981,0.0321666915220791,0.056683450498499,0.107100940245926,0.0255903964693222,0.0369659681229095,0.0216533838115598,0.0235039338543921,0.0226681282202625,0.0276916557831929,0.0224133006124577,0.0306298374398549,0.0214420348620975,0.0257384731856217,0.0233362911150244,0.101161856899908,0.0197388452553585,0.0231682190697549,0.0262634841514298,0.0231047093357455,0.02375460705081,0.0287788197334645,0.0413807450627319,0.0496188810444598,0.0247419378111997,0.030256908498947,0.0107567156950845,0.0458668025451813,0.0109807203392349,0.0458291529203397,0.0573963432756146,0.013770010491386,0.0107926583873103,0.0138607681321657,0.011200174585119,0.0125368072929551,0.0153062349160341,0.0126929356233284,0.0215118159618047,0.00996050587707247,0.0133860137387365,0.012261635016101,0.10282902477713,0.0123502627535027,0.00688161865550526,0.0118809066075843,0.0107412667388673,0.0136206907849831,0.0151566883487882,0.0120608946536161,0.0229045879459956,0.0193392883329224,0.0187215728584817
"FEDm_9","1994-02-04","1994-03-25","1994-01-01",74.2631578947368,0.0205622980721409,0.106769063913349,0.0270312929211524,0.0503323504270237,0.114892908203098,0.0222564592456635,0.0335656809145597,0.021144924239526,0.0251686544663708,0.0219930264334279,0.0315692397160477,0.0252465136515277,0.0317034134143734,0.0243296336124578,0.0221735295801714,0.0220932401206581,0.115089046645565,0.0193833443437407,0.0235349069774962,0.0269023161084468,0.0233706184850093,0.0239934128265966,0.0241758872077876,0.0367262711004785,0.0464601304272108,0.0254272350569807,0.0341046018891401,0.012407307742678,0.0320317026338535,0.0163685095784043,0.0239029802018807,0.0813616315377132,0.014689871456417,0.0205387838631527,0.0124608154113164,0.0144871610342094,0.0124937819724112,0.0154024268704919,0.0210269015235273,0.0264087284865285,0.014618270741878,0.0139752012432584,0.0127984110497202,0.0829752516635936,0.0120817706331334,0.0109009094618085,0.0123872787824359,0.0135937474246477,0.0127771068203956,0.0118786978933559,0.0139634760425793,0.0147164416659266,0.0167636460629891,0.0145803716269459
"FEDm_10","1994-03-22","1994-05-20","1994-01-01",75.2285714285714,0.023779507576088,0.101022534801397,0.0310102973942244,0.0576664800193199,0.115932249008258,0.0230176147596697,0.041389678030704,0.0210176066905191,0.0266973332169187,0.0243044580931709,0.0244510555834792,0.0223907570970748,0.0321303979061678,0.0239198932600872,0.0208308219241716,0.0258333929825874,0.0947755747458485,0.0217504950224521,0.0210704608596431,0.0240290273995753,0.0232863164892275,0.0219955608497973,0.0301143030500002,0.0443486502685677,0.0476559275227666,0.0267989581816361,0.028780647266648,0.00470989999156738,0.0100825501692249,-0.00137052924504255,0.0132026130086742,0.0589424047239478,0.00250774672099174,0.00266492663296224,0.00290637432125231,-0.00598826053046358,0.0020873934604123,0.0029594621205077,0.0040749727288926,-1.11038008740123e-05,0.0050294749418481,0.00263840715899203,0.00375861217280762,0.00225287124285546,0.00390202748906914,0.00237955932482404,-0.000753526602508095,0.00438516964470333,0.00249834498122752,0.00256598126290745,-0.00420321462837765,-0.00180426670097069,0.00667016476365713,-0.00214669012158083
