"event","pre_meet_T1","pre_meet_T2","pre_meet_T3","pre_meet_T4","pre_meet_T5","pre_meet_T6","pre_meet_T7","pre_meet_T8","pre_meet_T9","pre_meet_T10","pre_meet_T11","pre_meet_T12","pre_meet_T13","pre_meet_T14","pre_meet_T15","pre_meet_T16","pre_meet_T17","pre_meet_T18","pre_meet_T19","pre_meet_T20","pre_meet_T21","pre_meet_T22","pre_meet_T23","post_meet_T1","post_meet_T2","post_meet_T3","post_meet_T4","post_meet_T5","post_meet_T6","post_meet_T7","post_meet_T8","post_meet_T9","post_meet_T10","post_meet_T11","post_meet_T12","post_meet_T13","post_meet_T14","post_meet_T15","post_meet_T16","post_meet_T17","post_meet_T18","post_meet_T19","post_meet_T20","post_meet_T21","post_meet_T22","post_meet_T23","pre_pub_T1","pre_pub_T2","pre_pub_T3","pre_pub_T4","pre_pub_T5","pre_pub_T6","pre_pub_T7","pre_pub_T8","pre_pub_T9","pre_pub_T10","pre_pub_T11","pre_pub_T12","pre_pub_T13","pre_pub_T14","pre_pub_T15","pre_pub_T16","pre_pub_T17","pre_pub_T18","pre_pub_T19","pre_pub_T20","pre_pub_T21","pre_pub_T22","pre_pub_T23","post_pub_T1","post_pub_T2","post_pub_T3","post_pub_T4","post_pub_T5","post_pub_T6","post_pub_T7","post_pub_T8","post_pub_T9","post_pub_T10","post_pub_T11","post_pub_T12","post_pub_T13","post_pub_T14","post_pub_T15","post_pub_T16","post_pub_T17","post_pub_T18","post_pub_T19","post_pub_T20","post_pub_T21","post_pub_T22","post_pub_T23"
"FEDm_1",0.0341259297689358,0.0244872535709106,0.05162445815035,0.0664919450382335,0.045928021702049,0.0222770970382943,0.0268083286785565,0.0473028715445538,0.0505414707281453,0.0336579709059943,0.0610188562551368,0.0531461286445914,0.0449063334721145,0.0245552239862989,0.0272742479803104,0.0594494242970382,0.0505450592228525,0.0409907863684754,0.0316313685057776,0.0486541882231019,0.0548067380888853,0.0618610915722357,0.0379152062571584,0.0414730160010635,0.0249518834961746,0.0603975765041592,0.0759865846853689,0.057864798682574,0.0195261943110764,0.0290298433197406,0.0468322821036361,0.0579466965794446,0.0258152157060544,0.0564295167910193,0.0553785240296105,0.0409391191581984,0.0262632476888205,0.0255534011841294,0.0409262263240838,0.0395884941187576,0.0358564110344417,0.0298473576521688,0.0497528123410454,0.0590942952145215,0.0555901126917759,0.0449563903821348,0.0471992754702128,0.0227766385565845,0.0573260288356184,0.106495485624033,0.0380540958162497,0.0202022471666792,0.026129528057404,0.078983666403216,0.0622966746503918,0.0265292276424333,0.0463934841733121,0.0591048804477837,0.04837529677808,0.0226378832726683,0.0285775157636647,0.032633220603108,0.0383909773609269,0.0448290219010167,0.0431807314810239,0.0346031207218995,0.0440140986141597,0.0433021232219419,0.0279647774375915,0.0451409393515121,0.0243393980300647,0.0455210995293404,0.0967566587727756,0.0570774894651948,0.0218754401829219,0.0357450436800894,0.0493713489795311,0.0507930340022035,0.0300202995077738,0.0602683874103637,0.0608872363910158,0.0521403536808782,0.0241000456408636,0.0285740088066762,0.0313820354576179,0.0337347765723022,0.0334593462999693,0.0395597035413258,0.0401646930335388,0.0566674198698125,0.0509974715085,0.0314237702857285
"FEDm_2",0.0448521846010576,0.0230842065168172,0.056462763507047,0.0984762793234927,0.0461921348498821,0.0227980203774569,0.0269019550474679,0.0592743468749548,0.0607872498099091,0.0239547468861439,0.0532022229335091,0.0618311671660084,0.046850896769232,0.0262914891292153,0.0304648481836498,0.0338248097589349,0.0396855672693931,0.0399139630019473,0.0429647486588195,0.029744147073987,0.051273991596034,0.0470829291585458,0.0340853315064947,0.0428638193995374,0.0247006753870957,0.0473517837567964,0.10385532887096,0.0470678462989227,0.0210420313698044,0.0401428001335345,0.0556838864289533,0.0533084259094078,0.0300927795218772,0.056833206600091,0.0583733150097081,0.0483085609265242,0.0239521557317325,0.027837314789416,0.0363293507079045,0.037584705111881,0.0326544204885068,0.0429033247627772,0.0430933354324275,0.054563133068964,0.0408354881657163,0.0306223121274612,0.043334941570793,0.022791282051299,0.0614846333287841,0.0845009964568487,0.0564058770468817,0.0190241759516062,0.0381217596406154,0.0475296913616897,0.0528516132629127,0.0212714662682429,0.0420677959070276,0.0597781970193241,0.057534456510714,0.0245930273608546,0.0343259914699494,0.0390764867659277,0.0396826372568655,0.0394585865760981,0.0359233658037148,0.0453788355982378,0.056489117757737,0.0414810353638062,0.03689402967007,0.0598625319327072,0.0254006368555341,0.0614310644695131,0.0770223655434073,0.0555270902589895,0.0203208873017172,0.0293165049008502,0.0585657286774853,0.0434192225030684,0.027698156886043,0.047618162392652,0.0506827302283433,0.0458778132704334,0.0250363948395701,0.0370898694636044,0.0419446839057512,0.0393435903925207,0.0371849356974475,0.0401120159101631,0.0458460176231104,0.0436918880971454,0.0511502560960025,0.0358574527539407
"FEDm_3",0.0380492805855311,0.0229183663775674,0.0647565480020194,0.0704697634019311,0.0611352988807397,0.0196028022382704,0.0380484629819185,0.050282030956479,0.0557313042516775,0.0227558049743039,0.046283792073325,0.0614091980131809,0.0526601159351536,0.024341757817013,0.0419150713619401,0.0399537398390192,0.0376591659534929,0.0443429461165729,0.0306727695729018,0.0333226179982031,0.0636339962719113,0.043315363431966,0.0367398029648822,0.0584021719283764,0.024565071594788,0.0524048704771732,0.078442344609585,0.0553837639316436,0.0209280624057156,0.0336820243362918,0.0446073212277363,0.0465212791336941,0.0221563758872998,0.044590998811429,0.0549652631403057,0.0477383942107235,0.0244370519283148,0.0335126757008173,0.0416543997403557,0.0476105864070653,0.036611685030021,0.0408902745238312,0.0475341695635829,0.0580934704339362,0.0463113880833069,0.0389563568940067,0.0343862875752919,0.024048139722036,0.0511568209479201,0.102190630638617,0.0574328798305122,0.0214603252202538,0.0203036977823357,0.0382759580112422,0.0583606724641675,0.0208871710586252,0.0486845682824374,0.0618895015218734,0.0562556717552343,0.0230270557556345,0.0298228194193961,0.0408667040037092,0.0400371920411628,0.0363343922605509,0.054192512003996,0.0598592961897291,0.0401149678222383,0.0373915752626447,0.0430211604303922,0.0419196001765573,0.0242448315709803,0.056076587628687,0.0803646503939774,0.0539850238710945,0.0190538467431144,0.0244672488119836,0.0583018020404868,0.0512132590640017,0.0250739714098247,0.0523819045504113,0.0639713044689891,0.0501779455929155,0.0219324901337178,0.0403004126119203,0.0383053475635503,0.0377560373824404,0.0389846341359138,0.0496441763401838,0.0515404038788682,0.0379668217718512,0.0448248095670678,0.0375128902914627
"FEDm_4",0.0324094883105696,0.0243267243794232,0.0443410014101887,0.1122148742416,0.0595223441565279,0.0214075526299203,0.0223396624142953,0.0386427065033989,0.0558596935834643,0.0249914386830697,0.0516809206408989,0.0548039905086377,0.0502559045890265,0.0229950868881279,0.0227338081840579,0.0382581842852034,0.046278649945602,0.0361484019264397,0.0599126234391458,0.0566560111385589,0.0436375733077636,0.0385870525922527,0.0419963062418268,0.0424268542547725,0.0247987656476194,0.0494586196702088,0.0840698936556321,0.0585450279240299,0.0187412853997192,0.0250756733928245,0.0535424307729982,0.0528965656753448,0.0254546973086865,0.0545724064002985,0.064299541620569,0.0557134586877262,0.0225664334452114,0.0306669813879774,0.0323784712088919,0.0378408055825745,0.0421080092459113,0.0422894149306459,0.0554954690807153,0.0404668651235306,0.0495249438480304,0.0370673857360817,0.0459193587518519,0.022216487157214,0.0574875698953567,0.0571413030552152,0.0614325968932993,0.0202207551483729,0.0308095854717831,0.0488845034366099,0.0429261646433914,0.0296611023785121,0.0506366719993677,0.0656076917369537,0.0853298042330106,0.0232212237086029,0.0320174664362389,0.0476541949375543,0.0342505808482523,0.032740122830411,0.0434361265593113,0.0518820872552106,0.0455586324103205,0.0416342280287312,0.0293317421844288,0.0451509265621738,0.0278712476738631,0.0542653116782655,0.0830735553075486,0.057818493887772,0.0196963050158755,0.0311900886322635,0.0597227745016024,0.0547632665157325,0.0273486689199101,0.0407743113418531,0.0528817418615705,0.0426271066239786,0.0238488857751503,0.0350434808169,0.044037507395462,0.0291710999994664,0.0347821520681932,0.0471963451669058,0.0518322829321145,0.0409846985899675,0.0503140707859641,0.0456056779474672
"FEDm_5",0.0473145408240712,0.0235735860746237,0.052896228430623,0.0604485216052477,0.0553766874599102,0.0212209893933989,0.0362782007482463,0.048665758638633,0.0487452431215302,0.0245544277928556,0.0522639972507642,0.0574378795430378,0.0780118606432078,0.0254721293048503,0.0312700696238982,0.038352457784099,0.0364675677550905,0.0400240889480864,0.0341586882031846,0.0534108901400974,0.0551274930574411,0.0432488497460523,0.0356798439110503,0.0376445870842768,0.0286591970371582,0.0644430872313762,0.0840686781464146,0.0536512381052608,0.0209850201286267,0.0299202066697412,0.0459876678725293,0.0561065098805078,0.0230975495276275,0.0526483604476581,0.0391331826532656,0.0529517385582658,0.02367188442463,0.0383391249602488,0.0448070965966205,0.0396230432062317,0.0389560762913922,0.0398371989832976,0.0684005422589096,0.0360887659066423,0.040842205226594,0.0401370388027246,0.0427495272183938,0.0235859923487151,0.034975151936764,0.105291023680312,0.0697657515869732,0.0193901405954837,0.0377347708844818,0.0437176334508038,0.0528386630311644,0.0211309877777132,0.0411781365831825,0.0635880704995464,0.064696640245728,0.0246533965993558,0.0255634318974077,0.0403314090046588,0.0373608828000988,0.032540254240118,0.0384963462234299,0.0407907544650256,0.059768772148088,0.0470310336449154,0.0328212291376397,0.0479046885872956,0.0272997776680586,0.059928790565369,0.0694152959772193,0.0549508162995424,0.0209546266563831,0.0263951206205983,0.0525444615648216,0.0461652594120855,0.0376802212048861,0.0557594087067469,0.0519615334980979,0.0514226810807364,0.0263004694754496,0.0403096721913025,0.0363974555986539,0.0368432006527267,0.043900411863709,0.0447647201500377,0.0381550763858014,0.0436274736204589,0.0512131697402237,0.0361056684797962
"FEDm_6",0.0418131274180651,0.0244465766353758,0.0515478283351444,0.0801528675161753,0.0715657431454678,0.021131746597667,0.0378968844696252,0.0393874497673393,0.0525184309875722,0.0273498772855112,0.0644286059394091,0.0498259232580889,0.0671528784582267,0.0233968113952387,0.0316731512343112,0.0464924319846885,0.0337138466599733,0.0331442513212707,0.0336650498728852,0.0457561931967538,0.0480511926834184,0.0426372305715167,0.0322519012662755,0.0498411530616145,0.0267918265265898,0.0373210806303767,0.106350056090977,0.0582248900811553,0.0190270411918688,0.0311538963635299,0.0379651950833132,0.0513356655503682,0.0280892945424676,0.0489220257321694,0.0602582683074591,0.0585800485684921,0.0273722577109163,0.0291454512280047,0.0356938780542562,0.0366852958866713,0.0407741357989244,0.0469613859083767,0.0334716059942973,0.0549675799613976,0.0475689724843636,0.0334989952424102,0.0816735250790128,0.0292185954344445,0.0475635665443892,0.0721684813791427,0.054211402029254,0.0173433681550301,0.0258855418998252,0.0416479359213259,0.054497142512346,0.0249189723716785,0.0472812156887679,0.0625490939604343,0.0454143178303519,0.022539821590501,0.0264234225349892,0.0346073735207458,0.0286684649914081,0.0367164672606372,0.056068739238874,0.0533736306026689,0.0392203939069303,0.0550931751353732,0.0429153524118693,0.0382463499597518,0.0248156740856334,0.061168612376507,0.0854839284446903,0.0530927278109961,0.0221472396204315,0.0299373203021491,0.0408250677739109,0.0576104777921104,0.0275594543595013,0.05243937028664,0.0507668272785134,0.0478311388118365,0.023719743647644,0.0253140472520596,0.0375949728722252,0.0388758789518989,0.0300350746361742,0.0643397403764776,0.0602871888907592,0.0314489531093565,0.0542140009815365,0.0422462103791964
"FEDm_7",0.0725936404187465,0.0252769204171838,0.0590155009677892,0.0608870425761716,0.0476304536999316,0.0189181968826388,0.0256670755857431,0.048113931810603,0.0537629500255408,0.0223708845694904,0.050525078856941,0.0662800848872112,0.0417766932401357,0.0233508497159863,0.0369637642644064,0.0302540602847062,0.0293967925942702,0.0426566607172147,0.0527775590485389,0.0581045637156383,0.0327339962270966,0.0580673609656716,0.042875938528344,0.0456854319194456,0.0256884629573493,0.0468825382031359,0.0994125884965661,0.0551361001266361,0.0188797727476387,0.0279790955936315,0.0376218054630464,0.0618568436907985,0.0211534148943082,0.0487131918738086,0.0506444871334861,0.0556285503421414,0.02234389364487,0.0238830294761229,0.0340253741798079,0.0302176659519635,0.0260376922729671,0.0745457638438805,0.0725712473913396,0.0287307486866599,0.0489141535479874,0.0434481475624087,0.0403207924216747,0.0232130125541563,0.0523395380837182,0.108113642288873,0.0556304031262356,0.0238560973683761,0.0331698524559523,0.0420635723926003,0.0566131386831021,0.0217264895931184,0.0451189186865077,0.0562485033943922,0.0600052286793668,0.0207542322549317,0.0253721268916096,0.0458015588725284,0.0349722920884927,0.0384066954718719,0.0436795464263864,0.0443673029689221,0.0430161343132409,0.0518812248217006,0.0333296961622423,0.0519925943536933,0.02072502813502,0.0625519974987081,0.0531414237761069,0.0473962973161535,0.0203154543789788,0.0325323289959942,0.0429198511571704,0.0530510216572835,0.0339249163748224,0.0652703393707399,0.0608715592799229,0.062663206283973,0.0251511025884601,0.0328165398589793,0.0283694377099004,0.0390982908424663,0.0389303856522012,0.0387897269907237,0.0498822817650368,0.0461728119417738,0.0577114655515873,0.0357219385203043
"FEDm_8",0.0363951635984617,0.0226732701390023,0.0521856337848071,0.104763003733001,0.0589035858371005,0.0223025225757252,0.0317673635003675,0.0397736065852571,0.0602306066311462,0.0278702548000848,0.053302277019082,0.0552877126082983,0.0535452676442019,0.0229499979024432,0.0248339861649643,0.0434796727236037,0.0329340585474312,0.0386059936317971,0.0433971849998686,0.0501120302346359,0.0391647882296053,0.0542863581026737,0.0312356610064418,0.049457590620592,0.0211784393602306,0.0593944757431734,0.0846127270642534,0.0543624686741196,0.0198803897239043,0.0314231839512105,0.0399678611492695,0.0567676750428374,0.0288067758272322,0.0527604853274204,0.0663436352916666,0.0598692971126052,0.0252480120203333,0.0302252990884227,0.029254324036436,0.0342662197082875,0.0340052564549123,0.0394989910150578,0.0437563657650402,0.0504602665118577,0.0544703631856395,0.0339898973254979,0.036730996327392,0.0259926831944116,0.0535636960728104,0.105543537783609,0.0621512690589523,0.0227503181978625,0.0245529754989597,0.0406715918114268,0.0493177153115251,0.0313775651242989,0.0515247347232466,0.0598842231172298,0.054026617591326,0.0256464094001976,0.0282873805074623,0.0492753003990087,0.0300752293852208,0.0323631647144873,0.0476002344839029,0.0385991683816552,0.0473675350196821,0.049869072206859,0.0328285816884738,0.0387428553142531,0.0213393026637941,0.0581008944457772,0.0735384724105589,0.045826357936322,0.0195475988443641,0.0334169764034145,0.0484129505154343,0.0567279199309719,0.0253252141119769,0.0537001566386523,0.0589333530470999,0.0631911633074258,0.0242456052876817,0.0292361467722235,0.0579560268029871,0.0339467803086397,0.0399982814989798,0.0325613533023219,0.0434620178688632,0.0586937288184113,0.0482807408766856,0.0348161028931614
"FEDm_9",0.036730996327392,0.0259926831944116,0.0535636960728104,0.105543537783609,0.0621512690589523,0.0227503181978625,0.0245529754989597,0.0406715918114268,0.0493177153115251,0.0313775651242989,0.0515247347232466,0.0598842231172298,0.054026617591326,0.0256464094001976,0.0282873805074623,0.0492753003990087,0.0300752293852208,0.0323631647144873,0.0476002344839029,0.0385991683816552,0.0473675350196821,0.049869072206859,0.0328285816884738,0.0387428553142531,0.0213393026637941,0.0581008944457772,0.0735384724105589,0.045826357936322,0.0195475988443641,0.0334169764034145,0.0484129505154343,0.0567279199309719,0.0253252141119769,0.0537001566386523,0.0589333530470999,0.0631911633074258,0.0242456052876817,0.0292361467722235,0.0579560268029871,0.0339467803086397,0.0399982814989798,0.0325613533023219,0.0434620178688632,0.0586937288184113,0.0482807408766856,0.0348161028931614,0.0456650938080621,0.0237067565311693,0.0702818608882033,0.069243409336071,0.0453532615802746,0.0197187022656393,0.0284351079750556,0.0582936872525225,0.0486701566506366,0.0223223644841217,0.04382282590007,0.0533829552508227,0.0498286765835481,0.0213172944024114,0.0381844563157782,0.077461433193254,0.0303037684014322,0.0548926223232623,0.0486285753228491,0.0384160275784161,0.0311567875338436,0.0532440938763589,0.0276700825461975,0.042319805569659,0.0245680018554177,0.0626928246413048,0.0818490865266824,0.0544667334738479,0.0206196499421225,0.0312698128161391,0.0471297083926813,0.0528023764145071,0.0269201292604916,0.0579148759573913,0.0605196344215818,0.0494591582463948,0.0243976430147002,0.0332407557989087,0.044747793855496,0.0273354757849572,0.048961206025653,0.0426675709942426,0.0421152921144853,0.0368015384098011,0.0453101160918042,0.0418908103917301
"FEDm_10",0.048207021523086,0.0232460047359466,0.0744465778313692,0.0766839411246978,0.049155933501978,0.0186466659722065,0.0206976126155001,0.0401707198457471,0.0603875146966476,0.0204872202481054,0.053917071856647,0.0582573489986395,0.0392079174995991,0.0237759730210054,0.0413901552791238,0.0447957429443875,0.0332043724022573,0.0464888000759173,0.0467828890051731,0.0366018023328557,0.0540370129247194,0.0514596302645553,0.0379520712998353,0.0378339905482328,0.0264806390778741,0.0592980181474143,0.0822437327581713,0.0489435710025481,0.0201390191928923,0.0307871732244305,0.0506901475103371,0.0532731640591338,0.025880154933207,0.0567664161015756,0.0666311188121039,0.0547750378652953,0.024414682190616,0.0307871292492572,0.0708686895592931,0.0286987963317437,0.0436633552654341,0.0403141522634726,0.0383500850345014,0.0332523706028194,0.0465989131803127,0.0293096430893339,0.0413205600148369,0.0247510347081699,0.069246526310355,0.0560887794154433,0.0426421879239003,0.0236801423473636,0.0287077138476183,0.0586341178471312,0.0489162814640033,0.0291399117347758,0.0598541682924692,0.0514650323871628,0.053427830940428,0.0255923664438226,0.0371527550087963,0.0762055238711479,0.0391711562166186,0.0571863731706777,0.034226074983348,0.0423361506686902,0.0275589906652631,0.047469287856542,0.025227033881436,0.043000009561441,0.0227472896943848,0.0537571577577163,0.0654541018145938,0.0553469431622335,0.0201290472062742,0.0308628074830001,0.0526705951199782,0.0532055398728417,0.0260589218243853,0.0497891513014353,0.0578328151158148,0.0759044413740225,0.025450944966444,0.0398403756626969,0.052143023823112,0.0250515941709848,0.0497697474490814,0.0431655063651132,0.0483827917482952,0.0326604395378515,0.0515114351390503,0.0252653198492491
