param,a1,a2
0.0,0.4999279425362892,0.5000720574637109
0.05,0.5219769807222973,0.4780230192777027
0.1,0.5415476543326335,0.4584523456673665
0.15,0.5593916687318661,0.4406083312681339
0.2,0.5761176134547358,0.4238823865452642
0.25,0.589599861089383,0.41040013891061694
0.3,0.602218865444436,0.39778113455556396
0.35,0.6140187028581601,0.38598129714184
0.4,0.6253506859188562,0.3746493140811438
0.45,0.6360939559909552,0.36390604400904486
0.5,0.6433026119422401,0.3566973880577599
0.55,0.6536676345880781,0.3463323654119219
0.6,0.6637548328490256,0.33624516715097436
0.65,0.6698003997137876,0.33019960028621254
0.7,0.6775524588785574,0.3224475411214425
0.75,0.683676660295225,0.3163233397047749
0.8,0.6913293879741302,0.30867061202586993
0.85,0.6978561734400462,0.30214382655995387
0.9,0.7030338013922586,0.29696619860774154
0.95,0.7094265371142764,0.29057346288572367
