param,a1,a2
0.1,0.8630356564989942,0.13696434350100578
0.2,0.8381288572788977,0.16187114272110212
0.3,0.808796271928495,0.1912037280715051
0.4,0.7786924579763811,0.22130754202361874
0.5,0.7445769816255295,0.2554230183744704
0.6,0.7069263397582537,0.29307366024174625
0.7,0.6653989137403338,0.33460108625966617
0.8,0.6184997465552493,0.38150025344475064
0.9,0.5637792451869356,0.43622075481306444
1.0,0.4998841428078045,0.5001158571921954
1.1,0.4427642468005208,0.5572357531994793
1.2,0.4017488964209448,0.5982511035790552
1.3,0.3694924139928723,0.6305075860071276
1.4,0.3411593790310713,0.6588406209689286
1.5,0.31831123346583223,0.6816887665341678
1.6,0.2970289541468332,0.7029710458531667
1.7,0.2796257610347412,0.720374238965259
1.8,0.2636721973670187,0.7363278026329814
1.9,0.24908619844601373,0.7509138015539862
2.0,0.23591695778772875,0.7640830422122713
2.1,0.22323491098118683,0.7767650890188131
2.2,0.21211933420634177,0.7878806657936582
2.3,0.2024298844819769,0.797570115518023
2.4,0.19304358371051486,0.8069564162894852
2.5,0.18364614169701418,0.8163538583029859
2.6,0.1762306981483364,0.8237693018516636
2.7,0.16920561989092137,0.8307943801090786
2.8,0.16191083540579618,0.8380891645942038
2.9,0.155087143425931,0.844912856574069
3.0,0.14950013431512246,0.8504998656848776
