param1,param2,Cor_ab1ac1,Cor_ab2ac2,ab1,ab2
0.1,0.1,0.20760173849328206,0.20760173849328206,0.7032606250912861,0.29673937490871394
0.2,0.2,0.1841125733104964,0.1841125733104964,0.6945581073961963,0.3054418926038038
0.3,0.3,0.1607683974496778,0.16076839744967777,0.6875057776022304,0.3124942223977697
0.4,0.4,0.13914822742174524,0.13914822742174526,0.6799296209380595,0.3200703790619405
0.5,0.5,0.12332402610569877,0.12332402610569877,0.6726090526081494,0.32739094739185054
0.6,0.6,0.1052762065785951,0.10527620657859506,0.6666322949509683,0.3333677050490316
0.7,0.7,0.09261372051968927,0.0926137205196893,0.6605048880429694,0.3394951119570307
0.8,0.8,0.07820235428734015,0.07820235428734013,0.655353562048639,0.3446464379513609
0.9,0.9,0.06416288718785418,0.0641628871878542,0.6497300245462,0.3502699754538
1.0,1.0,0.061108524462318126,0.061108524462318126,0.644718555760474,0.355281444239526
1.1,1.1,0.05028532835847566,0.050285328358475635,0.640327439286923,0.35967256071307696
1.2,1.2,0.04806356395509432,0.04806356395509434,0.6361301715196359,0.3638698284803641
1.3,1.3,0.0472522208568584,0.0472522208568584,0.6320834510085285,0.3679165489914715
1.4,1.4,0.038615062496240596,0.038615062496240596,0.6281652017239788,0.3718347982760212
1.5,1.5,0.037689673434930876,0.0376896734349309,0.6236037776758249,0.3763962223241752
1.6,1.6,0.033906896575619135,0.03390689657561914,0.620811757027052,0.379188242972948
1.7,1.7,0.0315710258662241,0.031571025866224116,0.616721035737752,0.3832789642622479
1.8,1.8,0.030806183023222605,0.030806183023222612,0.6143569749248781,0.38564302507512216
1.9,1.9,0.027518285345193863,0.02751828534519386,0.6116053534698841,0.38839464653011585
2.0,2.0,0.02741328798369098,0.027413287983690967,0.6081256137047754,0.3918743862952247
2.1,2.1,0.026036783908182363,0.026036783908182357,0.6057454082784635,0.39425459172153654
2.2,2.2,0.020336903910050847,0.020336903910050858,0.6028118682336225,0.3971881317663774
2.3,2.3,0.025423344484495333,0.025423344484495358,0.6009899642123328,0.39901003578766736
2.4,2.4,0.023034988574307847,0.02303498857430784,0.598301686532294,0.401698313467706
2.5,2.5,0.021813203128869644,0.021813203128869616,0.5966377844441679,0.40336221555583207
2.6,2.6,0.021725873069776233,0.02172587306977625,0.5935537340981676,0.40644626590183236
2.7,2.7,0.020302031371639846,0.02030203137163987,0.5925926351878753,0.40740736481212475
2.8,2.8,0.018913810188858862,0.01891381018885885,0.5899956225017864,0.41000437749821356
2.9,2.9,0.018063080864298062,0.018063080864298076,0.587670344140578,0.41232965585942205
3.0,3.0,0.012672830466931465,0.01267283046693147,0.5864553072882664,0.4135446927117335
