param1,param2,Cor_ab1ac1,Cor_ab2ac2,ab1,ab2
0.1,0.1,0.21338046949604514,0.21338046949604517,0.7020314489030012,0.29796855109699877
0.2,0.2,0.17941384965124976,0.17941384965124973,0.6955656809021419,0.3044343190978581
0.3,0.3,0.16337321299185367,0.16337321299185367,0.6869681459897955,0.3130318540102046
0.4,0.4,0.13799925035896712,0.1379992503589671,0.6788869779856337,0.3211130220143662
0.5,0.5,0.1277783975584112,0.12777839755841117,0.673049286105067,0.32695071389493313
0.6,0.6,0.108249135499956,0.108249135499956,0.6667515122386499,0.3332484877613502
0.7,0.7,0.09124327898415971,0.09124327898415975,0.659808580969299,0.3401914190307012
0.8,0.8,0.08031669985253148,0.0803166998525315,0.6545352528189967,0.3454647471810033
0.9,0.9,0.07196873806022816,0.07196873806022812,0.6503236033153943,0.3496763966846057
1.0,1.0,0.06235892769621718,0.06235892769621722,0.6457588129244319,0.35424118707556806
1.1,1.1,0.04785187020059782,0.04785187020059779,0.6395316403671607,0.3604683596328393
1.2,1.2,0.05907975431376479,0.059079754313764825,0.6366332337823403,0.36336676621765973
1.3,1.3,0.04859351824985295,0.04859351824985295,0.6318976930586125,0.3681023069413875
1.4,1.4,0.03505223282097214,0.0350522328209721,0.6270077756951628,0.3729922243048372
1.5,1.5,0.039140621949153284,0.03914062194915326,0.6256153482905737,0.37438465170942625
1.6,1.6,0.03357686716513139,0.03357686716513136,0.6208708508703173,0.37912914912968276
1.7,1.7,0.029969962356073222,0.02996996235607322,0.6174506834651136,0.38254931653488644
1.8,1.8,0.030629824060413317,0.030629824060413327,0.6133549522390519,0.38664504776094805
1.9,1.9,0.031403852685591656,0.03140385268559166,0.6109539724500752,0.38904602754992484
2.0,2.0,0.03165791716533219,0.03165791716533218,0.6081518405822254,0.39184815941777457
2.1,2.1,0.03517064223498276,0.035170642234982764,0.6050220539917395,0.3949779460082605
2.2,2.2,0.025981344184402868,0.02598134418440285,0.6029771158351441,0.3970228841648559
2.3,2.3,0.013038778719041088,0.01303877871904111,0.6023564197726543,0.39764358022734564
2.4,2.4,0.03340973503177641,0.03340973503177642,0.5985067722258695,0.4014932277741306
2.5,2.5,0.022907726799231587,0.022907726799231597,0.5956345587271873,0.40436544127281276
2.6,2.6,0.013975924925419991,0.013975924925419977,0.5948783817563356,0.4051216182436645
2.7,2.7,0.021260824078072272,0.021260824078072293,0.5916949675660961,0.408305032433904
2.8,2.8,0.019690110300689855,0.019690110300689883,0.5889339530304402,0.41106604696955984
2.9,2.9,0.012221241557296807,0.01222124155729681,0.5884634713533611,0.4115365286466389
3.0,3.0,0.009208593345315244,0.009208593345315244,0.5868441318965347,0.41315586810346533
