param,a1,a2
0.1,0.08471543930935041,0.9152845606906497
0.2,0.14973569096434702,0.8502643090356531
0.3,0.20437152305565345,0.7956284769443466
0.4,0.25212516583495537,0.7478748341650446
0.5,0.2951805532804881,0.7048194467195119
0.6,0.3353564291422331,0.6646435708577669
0.7,0.37521730706709155,0.6247826929329084
0.8,0.4143696475913921,0.5856303524086078
0.9,0.4545048550150861,0.5454951449849139
1.0,0.49920177227652834,0.5007982277234716
1.1,0.5485605851376687,0.45143941486233125
1.2,0.5856832418172643,0.4143167581827357
1.3,0.6162675741871548,0.3837324258128452
1.4,0.6365666616896505,0.3634333383103495
1.5,0.6557265046906269,0.3442734953093731
1.6,0.66703767251191,0.33296232748808996
1.7,0.6791828929696221,0.3208171070303781
1.8,0.6860247718440386,0.31397522815596124
1.9,0.6916034394193493,0.3083965605806507
2.0,0.6952721109501995,0.3047278890498005
2.1,0.6956359486064123,0.30436405139358774
2.2,0.699806801758587,0.30019319824141305
2.3,0.7111815522498723,0.28881844775012777
2.4,0.7158953497076966,0.2841046502923035
2.5,0.7186325354817492,0.2813674645182508
2.6,0.7202338576735469,0.27976614232645314
2.7,0.7172050931563225,0.28279490684367753
2.8,0.7138559423766835,0.28614405762331646
2.9,0.7038489103303915,0.29615108966960846
3.0,0.6899103434192673,0.3100896565807326
